DDP,DB Commodity Short ETN due April 1,NASDAQ
30.25,30.23,31.20,29.89
30.28,30.28,30.28,30.28
30.28,30.19,30.34,29.87
31.91,31.90,31.92,30.31
31.00,30.73,31.00,30.60
30.55,30.40,30.96,30.40
30.44,31.20,31.95,30.44
32.79,31.26,32.79,31.21
32.76,31.56,32.76,31.12
34.25,30.83,34.25,30.83
32.29,32.70,32.93,32.29
31.81,31.97,32.78,31.15
32.45,34.55,34.55,32.45
35.99,32.00,35.99,32.00
32.59,31.34,32.59,31.31
31.34,31.34,31.34,31.34
31.34,31.34,31.34,31.34
31.34,31.34,31.34,31.34
30.92,30.85,30.92,30.85
31.95,31.24,31.95,31.24
31.50,31.20,31.50,31.20
30.62,31.38,31.38,30.62
31.40,30.40,31.40,29.61
29.12,30.99,30.99,29.12
30.99,30.99,30.99,30.99
30.40,30.40,30.40,30.40
29.85,30.45,30.45,29.85
29.50,29.59,30.09,29.49
30.00,30.00,30.00,30.00
28.77,28.77,28.77,28.77
31.60,30.95,31.60,30.92
30.00,30.00,30.00,30.00
30.15,30.00,30.30,30.00
31.00,30.25,31.00,30.00
30.11,30.50,30.50,30.11
31.80,31.80,31.80,31.80
31.80,31.80,31.80,31.80
31.80,31.80,31.80,31.80
29.58,29.77,29.77,29.58
29.72,29.65,29.72,29.65
29.65,29.65,29.65,29.65
29.65,29.65,29.65,29.65
29.49,29.95,29.95,29.49
29.95,29.95,29.95,29.95
31.14,30.10,31.14,30.10
29.24,29.75,29.75,29.24
29.33,29.33,29.33,29.33
29.02,29.60,29.60,29.02
29.60,29.60,29.60,29.60
30.47,30.48,30.59,30.47
30.48,30.48,30.48,30.48
30.09,30.01,30.20,30.01
29.88,29.88,29.88,29.88
30.14,30.14,30.14,30.14
29.74,29.83,30.11,29.74
29.52,29.32,29.60,29.32
31.50,29.02,31.50,29.02
29.14,29.55,30.08,29.14
29.60,29.23,29.60,29.02
29.00,29.00,29.00,29.00
29.58,29.58,29.60,29.58
29.58,29.58,29.58,29.58
29.58,29.58,29.58,29.58
29.18,29.18,29.18,29.18
29.18,29.18,29.18,29.18
30.50,30.50,30.50,30.50
31.08,31.08,31.08,31.08
31.08,31.08,31.08,31.08
31.08,31.08,31.08,31.08
29.57,29.57,29.57,29.57
29.37,29.60,29.60,29.37
30.20,30.20,30.20,30.20
29.38,29.38,29.38,29.38
29.38,29.38,29.38,29.38
29.38,29.38,29.38,29.38
29.38,29.38,29.38,29.38
29.62,30.10,30.74,29.62
30.87,30.87,30.87,30.87
30.87,30.87,30.87,30.87
30.87,30.87,30.87,30.87
30.87,30.87,30.87,30.87
30.87,30.87,30.87,30.87
29.74,29.74,29.74,29.74
31.50,31.50,31.50,31.50
31.50,31.50,31.50,31.50
31.50,31.50,31.50,31.50
30.98,31.00,31.00,30.98
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
30.11,30.91,30.91,30.03
30.52,30.52,30.52,30.52
30.16,30.16,30.16,30.16
30.09,30.09,30.09,30.09
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
29.99,29.97,29.99,29.97
29.97,29.97,29.97,29.97
29.97,29.97,29.97,29.97
30.60,30.68,31.05,30.60
30.94,31.15,31.26,30.94
31.15,31.15,31.15,31.15
30.90,30.91,30.91,30.90
30.91,30.91,30.91,30.91
29.71,31.01,31.01,29.71
30.39,30.39,30.39,30.39
30.39,30.39,30.39,30.39
30.58,31.36,31.75,30.58
32.04,32.95,32.95,32.04
32.62,32.38,32.62,32.38
32.39,32.39,32.39,32.39
32.39,32.39,32.39,32.39
31.55,31.55,31.55,31.55
31.55,31.55,31.55,31.55
32.01,31.85,32.01,31.85
31.71,31.71,31.71,31.71
31.69,31.74,31.74,31.69
31.53,32.09,32.09,31.53
32.09,32.09,32.09,32.09
31.48,31.48,31.48,31.48
31.48,31.48,31.48,31.48
31.90,32.01,32.35,31.90
32.50,32.20,32.50,31.95
32.10,32.30,32.30,32.10
32.30,32.30,32.30,32.30
33.97,33.97,33.97,33.97
34.76,35.02,35.10,34.19
35.89,35.60,36.04,35.00
35.60,35.68,35.75,34.90
35.60,33.92,35.82,33.90
34.00,33.61,34.12,32.85
35.76,33.80,35.76,33.80
32.53,34.37,34.66,32.53
34.34,34.34,34.34,34.34
34.97,34.64,34.97,34.39
33.97,34.58,34.58,33.97
34.60,34.68,34.75,34.25
35.00,34.87,35.06,34.83
35.00,34.55,35.16,34.50
35.20,35.45,36.45,35.00
35.60,36.22,36.78,35.60
36.21,35.74,37.12,35.74
36.16,35.00,36.78,35.00
37.52,37.22,37.52,37.22
36.58,35.20,36.58,35.00
35.28,35.95,36.16,35.28
34.16,33.56,34.93,32.69
34.31,33.51,35.41,32.76
33.75,31.65,33.75,30.55
31.34,31.94,32.91,31.04
32.86,33.54,33.54,32.86
33.05,33.40,33.51,32.90
33.98,34.10,34.96,33.10
33.78,34.20,34.78,33.50
34.90,34.50,34.99,34.20
34.60,33.41,34.60,33.41
34.05,33.89,34.06,33.50
33.62,33.80,34.36,33.47
33.98,33.70,33.98,33.50
33.12,33.00,33.94,33.00
33.49,33.03,33.49,33.01
33.01,33.49,33.49,33.01
33.49,33.60,34.56,33.07
33.60,33.60,33.60,33.60
33.10,33.02,33.10,33.02
