CADC,China Advanced Construction Materials Group,NASDAQ
18.96,19.20,20.16,18.36
19.68,19.80,20.40,19.68
19.44,20.28,20.52,19.44
18.84,22.44,22.68,18.84
22.80,22.68,22.80,21.72
22.44,21.96,22.68,21.00
21.24,22.20,22.20,21.24
24.12,25.92,26.64,23.52
25.44,25.92,26.76,25.44
26.64,26.28,26.88,25.80
27.24,26.28,27.24,26.16
26.40,27.12,27.48,26.40
27.48,27.12,27.60,26.28
27.12,27.36,27.60,26.99
27.24,27.72,29.28,27.00
27.60,27.72,28.08,27.60
27.36,27.84,28.20,27.36
28.08,28.20,28.68,27.84
28.56,28.80,29.16,28.08
28.68,28.68,28.93,28.68
28.80,28.80,29.16,28.68
28.92,28.80,29.28,28.68
28.80,28.92,29.40,28.80
28.92,29.04,29.40,28.92
28.92,28.92,29.07,28.80
28.20,28.44,29.16,27.96
27.96,28.20,28.80,27.96
27.96,28.20,28.66,27.96
28.20,28.32,28.44,27.96
27.84,28.20,28.44,27.84
27.84,27.84,27.84,27.84
28.32,28.32,28.43,27.96
28.20,28.32,28.32,28.08
28.56,28.20,28.56,28.08
28.08,28.20,28.44,28.08
28.80,28.20,28.80,27.96
28.20,28.20,28.32,27.96
28.20,27.96,28.50,27.96
28.18,27.48,28.18,27.00
27.48,27.60,27.84,27.00
27.48,27.60,27.84,27.24
27.36,27.51,27.72,27.36
27.48,27.36,27.65,27.36
27.36,27.60,27.72,27.36
27.60,27.36,27.84,27.36
27.36,27.36,27.84,27.36
27.36,27.60,27.84,26.88
27.72,28.44,28.44,27.36
28.20,28.44,28.44,27.84
28.56,28.20,28.56,27.96
28.38,28.20,28.56,27.96
28.20,28.44,28.44,27.61
28.44,28.44,28.56,28.32
28.20,28.56,28.56,28.20
28.20,28.56,28.56,28.20
28.56,28.68,28.80,28.32
28.68,28.68,29.04,28.56
28.68,29.40,29.52,28.56
29.52,29.05,29.88,28.80
29.76,30.00,30.00,29.28
30.00,30.12,30.60,29.64
30.00,30.00,30.36,29.88
30.00,30.00,30.24,29.88
30.00,30.24,30.24,29.64
30.00,29.52,30.00,29.40
29.52,30.00,30.00,29.40
30.00,30.24,30.24,29.88
30.24,30.36,30.36,30.12
30.36,30.12,30.36,30.12
30.12,30.36,30.36,30.12
30.00,30.36,30.36,29.88
30.36,30.12,30.36,29.88
30.24,30.36,30.36,30.11
29.88,30.24,30.36,29.76
30.24,30.12,30.24,30.12
30.12,29.88,30.12,29.76
29.64,28.92,29.76,27.36
28.80,28.68,29.28,28.56
28.56,28.68,29.16,28.56
28.80,28.68,28.86,28.68
28.68,28.56,29.16,28.56
28.56,28.56,28.80,28.08
28.32,28.32,28.44,28.08
28.20,28.08,28.56,28.08
27.84,28.44,28.44,27.60
28.44,28.44,28.80,28.42
28.56,28.68,28.68,28.44
28.80,28.56,28.80,28.08
28.32,28.32,28.92,28.08
28.32,28.56,28.56,28.32
28.32,28.56,28.80,28.32
28.80,28.80,29.04,28.68
28.56,29.04,29.16,28.56
29.04,29.04,29.16,29.04
28.92,29.02,29.16,28.92
28.80,28.80,29.16,28.80
28.80,28.74,29.04,28.68
28.68,28.44,28.80,28.44
28.56,28.68,29.16,28.44
28.92,28.92,28.92,28.68
28.80,28.80,28.92,28.68
28.80,28.92,29.04,28.68
28.80,29.04,29.04,28.80
28.80,29.04,29.04,28.70
28.92,28.92,28.92,28.68
28.80,28.80,28.80,28.68
28.68,29.04,29.40,28.68
29.04,29.04,29.28,28.80
28.80,28.92,28.92,28.80
28.91,28.56,28.92,28.56
28.68,28.68,28.68,28.56
28.68,28.68,28.80,28.44
28.56,28.80,29.04,28.56
28.68,28.68,29.04,28.68
29.04,29.16,29.16,28.68
29.16,28.83,29.16,28.80
28.80,28.92,29.04,28.80
28.80,28.92,29.04,28.80
28.80,28.08,28.80,27.96
28.08,27.13,28.14,27.00
27.12,24.60,27.12,24.24
24.60,26.16,27.00,24.60
26.04,26.40,27.12,25.92
26.28,26.16,26.52,25.68
26.88,26.64,26.88,25.68
26.64,26.52,26.88,26.16
26.16,25.92,26.43,25.56
26.40,25.80,27.12,25.32
25.32,25.56,25.80,24.60
25.56,25.80,25.80,25.44
26.04,25.80,26.04,24.72
25.44,26.04,26.16,24.84
26.04,26.04,26.16,25.08
26.04,25.44,26.04,25.20
24.84,25.20,25.20,24.72
24.96,24.84,25.20,24.84
24.72,24.60,25.20,24.48
24.48,24.84,25.19,24.48
24.84,25.68,25.80,24.84
25.32,25.92,26.16,25.08
25.44,25.44,25.80,24.96
25.44,25.80,25.80,25.44
25.56,25.32,25.80,24.96
25.20,25.44,25.92,24.84
25.46,25.44,25.46,25.08
25.32,25.44,25.44,25.08
25.32,25.08,25.92,25.08
25.08,24.84,25.09,24.84
24.84,22.26,24.84,22.20
21.96,20.64,22.20,20.64
20.16,21.00,21.00,19.81
20.76,19.80,20.76,19.20
20.21,20.04,20.52,20.04
20.16,20.52,20.52,20.16
20.28,20.16,20.40,20.16
20.28,20.16,20.52,20.05
20.16,20.16,20.17,20.16
19.92,19.32,20.16,18.24
18.96,19.08,19.32,18.72
19.08,19.20,20.04,18.60
18.84,18.48,18.84,18.24
19.20,18.96,19.20,18.60
18.36,18.60,18.99,18.24
18.72,19.27,19.27,18.49
18.60,19.32,19.32,18.56
19.68,18.84,19.68,18.84
18.84,18.94,19.20,18.84
18.60,19.08,19.08,18.60
18.72,18.84,18.96,18.72
18.72,18.80,19.20,18.72
18.72,19.08,19.20,18.72
19.19,19.20,19.20,18.84
19.20,19.08,19.20,18.84
18.72,18.72,18.72,18.36
18.36,18.72,18.72,18.36
18.48,18.72,19.08,18.36
19.08,18.36,19.08,18.36
18.36,20.16,20.40,18.36
18.50,20.41,21.00,18.50
20.40,19.68,20.87,19.45
19.56,19.44,19.80,19.08
19.20,19.44,19.56,18.76
19.08,19.08,19.20,18.96
18.36,18.90,20.86,18.36
19.56,19.32,19.56,18.72
18.75,18.88,19.32,18.48
18.60,18.96,18.96,18.60
17.88,10.44,18.00,10.44
10.20,10.20,11.40,9.96
11.76,10.92,11.88,10.20
10.18,10.80,11.04,10.18
11.04,11.16,11.40,10.33
10.92,10.20,10.92,9.96
11.04,9.61,11.04,9.61
9.62,9.89,10.08,9.62
9.63,9.60,9.96,9.60
9.60,7.68,9.60,7.68
7.44,6.24,7.56,5.40
6.24,6.36,7.08,6.00
7.08,6.60,7.32,6.60
6.60,5.88,6.84,5.88
6.00,6.24,6.36,6.00
6.24,6.00,6.36,5.89
6.00,6.12,6.24,5.88
5.88,6.00,6.36,5.88
6.00,6.58,6.60,5.88
6.96,6.60,7.18,6.60
6.60,6.04,7.08,5.67
6.24,6.60,7.08,6.24
7.20,6.96,7.20,6.72
6.84,6.24,6.84,6.00
6.24,6.42,6.60,6.24
6.36,6.24,6.37,6.24
5.76,5.89,6.24,5.76
6.00,6.00,6.59,6.00
6.00,6.24,6.24,5.75
6.24,6.36,6.50,5.78
5.76,6.47,6.47,5.76
6.00,6.12,6.24,5.94
6.24,6.24,6.24,6.24
5.88,5.84,6.12,5.83
5.83,6.12,6.12,5.83
5.89,5.76,6.11,5.76
6.23,5.78,6.35,5.76
5.76,5.64,5.77,5.64
5.52,4.92,6.00,4.80
4.68,4.47,4.92,4.47
4.32,5.40,6.36,4.32
5.88,5.28,5.88,4.92
5.28,5.16,5.40,5.04
5.40,5.04,5.40,5.04
5.16,5.04,5.28,5.04
