NTN,NTN Buzztime,NASDAQ
10.35,10.13,10.56,10.12
10.00,9.07,10.06,8.89
9.00,9.76,9.98,9.00
9.96,10.16,10.46,9.94
10.42,9.88,10.45,9.72
10.04,10.09,10.12,10.04
10.11,9.32,10.11,9.21
9.35,9.46,9.85,9.35
9.61,9.78,9.82,9.44
9.93,9.47,9.93,9.12
9.39,9.50,9.50,9.00
9.21,8.83,9.49,8.60
8.88,8.45,8.88,8.30
8.38,8.49,8.68,8.38
8.34,8.20,8.50,8.20
8.33,8.35,8.35,8.23
8.20,8.50,8.50,8.16
8.64,9.00,9.06,8.64
8.90,8.94,8.95,8.87
9.06,8.90,9.12,8.90
9.07,9.07,9.21,9.07
9.22,9.38,9.93,8.64
9.58,9.54,9.58,9.13
9.60,9.41,9.60,9.41
9.59,9.46,9.59,9.46
9.35,9.35,9.35,9.35
