XOMA,XOMA Corporation - Common Stock,NASDAQ
5.49,5.75,5.92,5.35
5.67,5.53,5.88,5.40
5.52,5.69,5.72,5.48
5.64,5.68,5.90,5.61
5.59,5.51,5.69,5.49
5.63,5.59,5.69,5.48
5.55,5.78,5.80,5.51
5.80,5.68,5.80,5.62
5.69,5.80,5.80,5.62
5.82,5.73,5.98,5.71
5.68,5.67,5.87,5.62
5.65,5.50,5.72,5.50
5.75,5.50,5.88,5.50
5.47,5.36,5.60,5.28
5.30,5.17,5.46,5.08
5.08,4.90,5.33,4.90
4.84,4.59,4.95,4.58
4.53,4.22,4.63,4.16
4.20,4.97,4.98,4.20
4.90,4.82,5.07,4.76
4.88,4.94,5.05,4.72
4.95,4.95,5.04,4.76
5.05,5.15,5.26,4.86
5.28,4.99,5.33,4.89
5.02,4.77,5.02,4.70
4.77,4.72,4.78,4.59
4.75,4.90,5.11,4.68
