AGU,Agrium Inc. Common Stock,NASDAQ
78.82,80.07,80.53,78.47
79.18,78.08,79.31,77.79
77.96,78.14,78.70,76.56
76.77,75.54,77.06,75.23
75.73,75.34,75.73,74.28
75.24,77.29,77.50,75.11
78.37,78.21,78.85,77.70
79.80,79.14,80.24,78.86
78.39,79.49,79.64,77.59
80.33,78.70,80.49,78.66
79.06,82.52,82.81,78.93
82.52,81.21,83.07,80.87
81.23,81.60,82.45,80.60
81.78,82.17,82.82,81.62
81.67,83.79,84.00,81.51
84.84,87.04,87.41,84.68
86.87,86.36,87.30,85.85
86.23,83.56,86.49,83.10
84.29,84.74,85.02,83.63
84.80,85.46,85.80,84.44
86.42,87.33,87.63,85.80
87.38,88.38,88.66,87.38
87.42,87.28,87.59,85.94
88.41,88.47,88.87,87.67
89.11,88.79,89.31,88.02
89.42,90.82,92.32,89.16
90.81,91.94,92.74,90.52
90.80,91.01,91.06,89.75
91.11,91.02,91.29,90.13
91.38,88.99,92.00,88.32
90.91,89.47,90.97,88.50
88.13,89.07,89.48,87.46
89.68,89.99,90.86,89.34
89.88,91.55,92.32,89.46
92.36,92.57,93.00,91.34
94.72,95.77,96.00,94.37
96.68,95.16,97.49,94.94
94.42,95.45,95.99,94.00
93.60,94.28,94.54,92.72
94.68,92.86,94.77,92.39
93.10,93.08,93.72,92.03
94.15,94.91,95.22,92.92
95.48,96.79,97.64,95.25
96.82,96.02,97.19,95.45
95.98,94.96,96.49,94.85
95.34,94.15,95.70,94.04
93.00,94.19,94.33,92.40
95.85,95.02,96.33,92.87
95.25,95.24,95.92,95.10
95.35,97.27,97.83,95.35
96.83,96.88,97.89,96.43
96.61,97.34,97.78,96.48
96.48,97.23,97.70,96.40
96.90,96.19,97.27,95.51
98.55,96.84,98.59,96.53
96.86,98.78,99.02,96.80
99.13,100.37,100.65,98.89
100.62,99.89,100.69,99.69
100.01,101.16,101.75,99.55
101.38,98.89,101.89,98.61
98.42,100.83,101.22,98.27
100.69,98.08,100.80,97.89
98.00,97.83,99.06,97.13
97.90,97.50,98.10,96.72
97.49,96.82,97.84,96.53
97.12,99.18,99.35,96.76
98.78,96.22,98.78,96.04
97.22,98.38,98.99,96.90
98.36,98.20,98.65,97.39
98.08,99.24,99.91,96.95
100.73,100.61,101.25,99.69
101.12,101.96,102.21,101.05
101.93,100.50,102.78,100.35
101.12,101.55,102.09,100.90
102.40,103.33,104.13,102.11
102.92,104.70,105.76,102.66
105.89,103.74,106.10,103.18
103.25,102.57,103.50,102.10
102.49,103.45,103.45,101.97
103.72,103.53,104.53,103.28
102.54,102.98,103.25,101.90
103.83,101.40,103.91,101.39
101.66,101.77,102.48,101.23
101.94,101.77,103.00,101.38
101.58,102.49,102.69,101.18
102.92,102.99,103.39,102.24
103.00,103.46,103.68,101.62
103.72,105.53,107.01,103.14
104.68,105.36,105.97,103.86
105.05,103.47,105.09,102.86
104.02,104.91,104.99,103.62
105.81,104.28,106.00,103.90
104.00,103.64,104.42,102.98
104.35,105.52,106.04,104.09
105.30,103.63,105.48,103.20
104.85,104.48,105.72,103.89
104.44,103.29,104.68,102.89
103.15,104.02,104.22,102.86
104.06,103.77,104.36,103.34
102.91,104.99,105.08,102.79
104.46,105.47,105.49,103.90
105.40,104.40,105.60,103.72
104.34,107.94,108.13,104.15
106.50,107.34,107.59,105.22
108.12,107.13,108.42,106.90
108.35,105.88,108.35,105.50
105.62,104.75,106.57,104.42
104.99,105.54,106.30,104.75
105.20,107.30,107.58,104.96
107.62,105.78,107.80,105.72
106.05,106.18,106.55,105.43
106.87,107.15,107.35,106.19
99.40,95.58,100.00,95.44
95.70,95.29,95.96,92.64
94.21,96.04,96.82,93.97
96.16,96.05,96.56,95.47
95.54,96.81,97.54,95.24
95.99,96.29,97.46,95.99
96.01,96.86,97.78,96.01
97.00,97.58,97.71,96.16
99.17,101.23,101.27,99.12
101.00,101.25,101.67,100.44
101.09,100.14,101.32,99.43
100.44,101.80,101.82,100.32
100.37,100.85,100.96,99.89
101.12,100.21,101.62,100.15
99.89,100.08,100.08,98.70
100.96,101.60,101.60,100.07
101.67,102.02,102.76,100.96
102.96,99.74,102.96,99.65
99.76,100.12,101.19,99.67
100.81,100.48,101.60,100.08
100.07,100.71,101.07,99.86
101.09,99.87,101.54,99.70
99.97,99.47,100.37,98.80
99.71,100.38,101.06,99.47
100.30,99.65,100.64,99.02
99.92,97.75,100.04,97.28
97.66,97.58,98.50,97.33
97.57,98.21,98.56,97.11
98.47,98.39,98.47,97.52
98.28,99.50,99.77,98.27
99.41,99.42,99.74,98.49
98.71,98.25,98.89,97.90
98.31,98.45,99.00,97.92
98.29,98.07,98.91,97.81
97.84,98.41,98.57,97.23
97.78,97.98,98.46,97.33
97.69,99.87,100.70,97.01
101.44,103.04,103.07,101.29
103.01,102.23,103.84,101.65
102.17,103.87,104.08,102.17
103.48,102.74,103.49,102.11
102.82,102.22,103.18,101.39
102.37,104.02,104.29,102.27
104.32,105.25,105.34,103.50
105.32,106.82,107.09,104.50
106.92,106.89,107.25,106.16
105.95,106.61,107.38,105.82
106.17,106.60,106.82,105.67
106.98,107.93,108.60,106.93
107.88,107.70,108.63,107.06
107.70,110.39,110.39,107.27
110.22,110.88,112.31,109.87
112.98,113.77,115.08,112.34
114.06,114.63,114.72,113.21
114.61,113.45,115.31,113.17
112.83,113.15,113.47,112.42
113.02,113.73,114.23,112.64
112.99,113.49,114.40,109.84
114.20,113.39,114.20,113.18
112.21,112.96,113.61,111.68
113.08,113.30,114.37,112.37
113.08,114.16,114.34,113.08
114.16,114.06,114.26,113.25
113.90,114.39,114.83,113.52
114.00,114.60,114.92,113.76
114.20,112.38,114.20,112.18
112.67,112.16,113.26,111.38
111.72,111.14,111.72,110.33
109.77,106.91,110.22,106.55
106.56,108.92,108.94,105.62
108.53,108.86,109.30,106.90
108.45,106.84,108.64,105.22
106.39,101.13,106.50,99.27
101.18,100.73,103.26,100.60
100.98,99.89,101.45,98.99
99.85,103.54,104.04,99.34
103.73,103.45,103.91,102.04
104.16,104.39,104.70,102.29
104.23,102.68,104.23,101.52
103.60,103.52,104.08,103.20
104.23,104.06,104.52,103.20
104.31,103.77,104.44,102.63
104.52,105.88,105.90,103.84
105.78,107.21,107.37,105.13
106.42,104.79,106.67,103.43
104.89,103.75,105.58,103.35
104.12,103.04,104.12,102.08
103.13,102.75,103.29,102.18
101.82,100.85,102.03,100.37
100.73,100.90,101.16,99.80
101.78,100.32,102.00,100.00
100.57,100.43,101.18,99.94
100.57,100.57,100.79,99.99
101.06,99.28,101.10,98.59
99.20,98.83,99.66,97.11
97.54,98.09,99.39,94.87
97.88,97.50,98.85,97.19
97.19,96.29,97.50,96.18
96.26,95.13,96.63,94.80
95.45,94.97,96.04,93.29
94.88,96.82,97.20,94.71
95.59,96.10,96.62,95.23
96.10,97.65,98.50,96.10
97.63,95.04,98.54,93.09
94.53,94.10,95.32,93.80
94.20,94.88,95.70,93.97
94.50,93.26,94.59,92.21
92.53,91.27,92.77,91.07
91.64,92.69,93.20,91.33
91.98,90.96,92.30,90.41
91.87,92.07,92.74,91.14
92.14,92.01,92.43,91.23
91.98,91.27,92.18,90.36
91.50,90.69,91.91,90.10
90.51,92.37,92.89,90.51
93.08,92.34,93.16,92.03
92.50,91.13,92.75,90.89
91.52,92.91,93.05,90.69
92.70,91.67,92.89,90.20
91.90,90.09,91.91,89.70
90.26,89.55,90.50,87.92
89.89,90.01,90.86,89.37
90.30,90.38,90.55,89.50
90.45,91.05,91.64,89.20
91.32,94.24,94.62,91.07
93.74,94.86,95.28,92.69
94.84,92.47,95.08,91.40
92.70,91.20,92.70,90.98
90.95,91.99,92.30,90.58
91.80,90.86,91.92,90.50
90.79,90.04,91.63,89.91
89.97,91.34,91.50,89.10
91.18,91.21,91.65,90.77
91.39,90.68,91.48,90.10
