IYY,iShares Dow Jones U.S. ETF,NASDAQ
111.08,111.48,111.48,110.90
111.36,112.87,112.90,111.28
113.15,113.26,113.56,112.78
113.39,113.81,113.85,113.39
113.94,113.57,114.06,113.41
114.14,114.30,114.61,113.90
114.30,113.26,114.54,113.13
113.59,113.79,114.37,113.45
114.24,113.64,114.24,113.43
113.69,113.95,114.20,113.69
114.21,114.18,114.47,114.10
113.70,113.42,113.76,113.41
113.33,113.17,113.33,112.95
113.28,113.25,113.32,113.09
113.33,113.59,113.86,113.33
113.99,112.68,113.99,112.62
112.68,112.67,112.90,112.42
112.68,112.05,112.68,111.90
113.00,112.88,113.34,112.34
113.41,113.87,113.89,113.41
113.71,113.67,113.89,113.26
113.75,114.16,114.32,113.48
113.73,113.71,113.98,113.65
113.66,113.85,114.20,113.51
113.88,114.07,114.07,113.38
113.82,113.89,113.90,113.04
113.89,114.08,114.25,113.89
