EMITF,Elbit Imaging Ltd. - Ordinary Shares,NASDAQ
48.00,44.20,48.00,44.20
43.40,42.40,43.80,42.00
42.60,45.80,46.38,42.60
43.80,43.60,45.40,41.40
51.60,52.40,59.38,51.00
49.80,53.80,56.88,49.80
53.70,52.40,57.60,52.40
48.80,52.00,52.00,48.80
45.80,47.00,49.00,44.40
49.60,49.60,50.29,49.00
48.00,45.80,48.86,45.80
45.40,45.60,46.40,45.40
47.20,46.60,49.20,46.20
44.60,49.60,50.60,44.60
46.00,46.80,47.00,46.00
46.40,46.20,46.40,46.20
45.40,45.40,45.82,45.20
44.40,46.40,46.40,44.40
44.80,44.00,44.80,42.80
44.80,42.67,44.80,41.00
42.40,42.20,42.40,42.20
43.20,42.00,43.20,42.00
45.40,42.60,45.80,40.80
42.80,44.00,44.00,42.80
42.60,43.60,44.38,42.60
43.00,45.80,45.80,43.00
45.60,45.60,45.60,45.60
47.00,42.41,47.00,42.20
44.68,42.20,45.00,42.20
41.60,41.20,42.00,40.60
40.20,40.20,40.20,40.20
47.00,42.00,47.00,42.00
43.00,44.60,44.60,42.00
43.60,42.20,43.80,42.00
42.00,43.60,43.60,42.00
44.40,44.80,44.80,43.60
45.80,45.20,45.80,43.60
45.20,44.20,45.60,44.00
43.80,43.60,44.00,41.20
42.40,43.60,43.80,42.40
41.20,42.40,42.60,41.20
42.60,42.60,43.40,42.40
43.80,45.20,45.20,43.60
46.20,48.40,48.60,45.60
46.80,46.40,49.40,45.20
46.60,42.60,46.60,42.60
44.00,42.60,44.00,42.60
42.00,42.20,44.00,41.20
42.20,41.20,42.20,41.20
43.26,43.26,43.26,43.26
44.80,43.20,44.80,43.20
43.20,43.20,43.20,43.20
44.40,43.60,44.40,43.40
43.60,42.00,44.00,32.60
45.00,42.60,46.00,42.60
45.40,45.40,45.40,43.86
45.40,45.40,45.40,45.40
44.40,45.20,45.40,43.60
45.00,44.20,46.40,44.20
46.00,46.00,46.00,46.00
44.00,42.40,44.00,42.40
39.40,42.20,43.20,39.40
44.00,42.80,44.00,42.80
44.00,42.83,44.00,41.40
42.60,43.80,43.80,42.60
42.58,43.40,43.90,42.58
42.80,44.40,44.40,42.80
42.60,43.60,43.80,42.60
43.00,41.00,43.00,40.00
42.23,42.20,42.34,42.20
42.00,40.60,42.00,40.40
42.40,43.80,43.80,42.40
43.80,41.20,46.00,41.20
43.60,42.20,43.60,42.20
40.20,40.40,40.60,40.20
41.70,41.80,42.00,41.70
