VIS,Vanguard Industrials ETF - DNQ,NASDAQ
77.80,78.35,78.35,77.80
78.30,77.20,78.31,77.16
77.08,76.57,77.08,76.20
76.93,77.24,77.27,76.93
77.51,75.67,77.66,75.64
75.98,76.14,76.26,75.56
76.04,77.54,77.73,76.04
77.49,77.50,77.99,77.37
76.96,77.33,77.56,76.47
77.26,77.30,77.30,76.58
77.83,78.42,78.65,77.83
78.90,78.53,78.96,78.38
78.59,78.63,78.80,78.47
79.05,79.40,79.45,78.79
79.02,79.59,79.60,79.02
79.53,79.20,79.58,78.91
79.28,79.71,79.72,79.17
79.86,80.19,80.20,79.85
80.04,80.14,80.20,79.84
79.28,79.81,80.15,79.10
80.03,79.72,80.15,79.18
79.95,79.99,80.10,79.73
79.95,79.20,79.95,78.96
79.42,79.62,79.62,79.35
79.95,79.06,79.95,78.68
79.40,79.38,79.48,79.07
79.06,79.42,79.47,78.60
79.51,79.87,79.92,79.39
79.89,78.89,79.89,78.70
79.15,78.52,79.22,78.33
78.55,77.76,78.65,77.60
77.75,78.01,78.10,77.66
77.23,77.86,77.89,76.79
78.00,78.40,78.40,77.68
78.74,78.56,78.85,78.15
78.92,79.68,79.73,78.76
79.74,79.86,80.13,79.67
79.63,79.44,79.78,79.13
79.09,76.90,79.09,76.87
77.65,78.03,78.03,77.35
77.52,76.76,77.52,76.29
76.90,76.36,76.97,76.11
76.36,76.68,76.75,75.93
76.89,76.71,76.97,75.92
77.05,77.45,77.53,76.81
77.75,78.14,78.25,77.75
78.46,78.50,78.93,78.31
78.48,78.40,78.64,78.15
78.67,78.75,78.90,78.30
78.82,78.90,78.90,78.31
78.68,77.72,78.68,77.70
78.10,78.64,78.74,78.08
79.64,80.07,80.55,79.52
80.20,80.56,80.62,80.06
80.85,81.30,81.30,80.72
81.28,81.80,81.80,81.02
81.85,81.62,82.11,81.45
81.77,82.00,82.00,81.55
81.95,81.73,81.95,81.46
81.83,82.75,82.75,81.83
82.70,83.25,83.25,82.45
83.13,82.87,83.43,82.71
83.50,84.01,84.02,83.32
83.98,84.20,84.46,83.97
84.35,84.30,84.62,84.05
84.47,83.46,84.94,83.23
82.36,83.28,83.50,82.34
83.03,83.14,83.15,82.45
84.00,83.73,84.40,83.48
83.37,83.17,83.46,82.83
83.40,83.58,83.92,83.21
83.49,82.87,84.11,82.87
83.36,83.24,83.36,82.24
83.30,82.68,83.71,82.18
82.51,81.20,82.51,81.16
81.28,81.76,81.76,80.87
82.17,83.18,83.25,82.06
83.50,83.04,83.50,82.79
82.27,82.27,82.90,81.98
