IYW,iShares U.S. Technology ETF,NASDAQ
118.04,118.10,118.32,117.48
117.95,120.14,120.27,117.88
120.30,120.74,121.17,119.91
121.18,121.56,121.66,121.07
121.03,120.98,121.30,120.46
121.39,122.60,123.30,121.39
122.57,122.23,123.16,122.05
122.41,122.73,123.37,122.28
123.09,121.78,123.09,121.62
121.97,122.69,123.10,121.80
122.99,122.95,123.29,122.69
122.68,122.49,122.68,122.15
122.57,121.95,122.61,121.65
121.79,122.08,122.08,121.56
122.23,122.65,123.23,122.15
122.85,121.47,123.02,121.40
121.35,121.38,121.64,121.01
121.57,120.25,121.58,119.97
120.84,121.15,121.75,120.38
121.27,121.69,121.95,121.27
121.58,121.88,122.21,121.33
121.94,123.04,123.30,121.61
123.09,123.39,123.70,123.09
123.39,123.43,123.88,123.08
123.44,124.24,124.24,123.26
123.81,123.78,123.86,122.46
123.91,124.25,124.39,123.85
