JBHT,J.B. Hunt Transport Services,NASDAQ
97.59,98.10,98.22,97.00
98.06,99.96,100.27,97.64
100.25,100.68,100.97,99.94
100.65,99.29,102.38,98.73
99.34,99.14,99.79,98.38
99.59,99.01,100.05,97.64
99.24,98.61,99.71,98.31
98.57,98.01,99.42,97.60
98.21,97.00,98.31,96.62
96.87,97.86,97.94,96.72
98.22,98.00,99.00,97.89
98.02,97.01,98.24,96.95
97.01,97.16,97.61,96.78
97.01,97.47,97.75,96.95
97.93,98.01,98.72,97.44
98.08,97.08,98.55,96.98
96.97,97.34,98.06,96.97
97.78,97.07,97.95,96.68
97.83,96.77,99.36,95.89
96.58,97.82,98.42,96.25
97.42,97.19,97.56,96.56
97.43,97.69,98.46,96.91
97.00,96.87,97.25,96.31
96.97,97.72,98.24,96.40
97.82,98.72,98.87,97.30
98.47,99.05,99.33,98.02
99.25,99.28,99.63,98.92
