BIO,Bio-Rad Laboratories,NASDAQ
106.66,106.58,108.87,106.53
106.91,106.65,108.37,106.42
104.48,104.91,106.75,104.48
104.54,106.57,106.75,104.20
106.39,105.10,106.39,104.77
105.04,105.20,105.50,104.37
103.86,104.21,105.20,103.86
103.92,105.05,105.18,103.20
106.47,107.46,107.61,106.10
107.13,107.52,108.00,106.94
108.00,108.61,108.79,107.02
108.41,109.07,109.27,108.22
108.43,109.32,109.49,108.43
109.27,110.76,110.93,108.73
109.88,110.95,111.32,109.45
110.72,110.85,111.78,110.08
111.00,111.37,112.00,111.00
111.00,111.70,111.95,111.00
111.65,110.63,111.65,109.76
111.38,114.43,115.00,111.38
114.69,113.70,114.93,113.60
113.41,114.63,114.65,113.41
114.71,113.71,114.97,113.70
113.20,114.83,115.33,112.99
116.36,115.51,116.48,114.64
115.51,114.75,115.70,114.17
114.75,115.26,116.00,114.05
115.15,115.09,115.82,114.70
114.63,113.79,114.63,113.22
114.59,116.48,116.78,114.59
116.08,114.70,116.17,114.15
114.89,114.68,115.39,113.69
113.85,115.95,116.04,113.85
115.01,115.72,115.92,114.61
115.56,116.48,116.48,115.53
116.62,116.38,116.78,115.42
115.68,116.51,116.64,115.25
116.23,117.10,117.10,116.23
116.31,117.05,117.28,116.24
116.75,117.18,117.21,116.34
116.75,118.43,118.73,116.75
117.75,117.08,118.29,116.85
116.51,116.42,117.36,116.27
116.50,116.97,117.21,115.48
116.92,117.30,118.58,116.17
118.45,117.30,118.45,116.64
117.48,123.55,123.95,117.48
123.39,123.20,124.18,122.94
122.79,123.09,123.33,121.60
122.44,121.91,122.83,120.72
121.30,122.51,122.79,120.46
124.76,122.77,126.49,121.47
123.00,122.48,123.00,121.88
122.90,123.55,123.55,122.19
122.90,123.73,123.76,122.23
123.48,122.94,123.48,122.54
122.88,122.86,123.10,122.39
123.32,123.06,123.32,122.27
122.49,122.97,123.48,122.06
122.35,122.05,122.50,121.30
122.03,123.35,124.24,122.03
123.50,124.40,124.48,122.74
123.56,123.85,124.31,122.89
123.66,123.84,124.42,122.69
123.88,122.69,123.88,121.76
122.80,124.87,124.87,122.67
124.76,125.00,125.20,123.32
125.15,126.00,126.50,124.99
127.17,125.18,127.17,123.60
125.06,125.02,125.88,124.12
125.22,124.57,125.68,124.00
124.25,124.90,125.32,124.11
122.94,123.35,123.66,122.14
123.10,123.53,123.94,122.22
124.00,123.38,124.74,122.78
123.56,124.61,124.75,123.07
124.55,124.58,125.00,123.18
124.51,123.41,124.51,122.81
123.14,121.08,124.18,120.56
121.73,123.46,123.83,120.94
122.25,121.45,122.30,120.67
121.95,120.08,121.95,119.75
120.33,120.89,121.77,119.58
121.35,120.89,121.35,120.13
121.16,121.10,121.93,120.09
121.27,119.89,121.27,119.73
120.27,120.64,120.94,119.55
120.00,118.96,120.56,118.02
118.96,120.02,120.12,118.46
119.98,119.75,119.99,118.72
119.12,117.59,120.16,115.49
117.80,118.18,118.98,116.93
119.04,120.75,121.00,118.33
120.44,119.57,120.67,119.25
121.37,111.66,121.37,110.02
113.73,118.37,124.04,112.28
118.00,118.00,118.83,117.44
118.38,117.57,118.46,117.28
117.71,116.91,117.99,116.32
116.51,116.42,116.98,115.82
116.40,116.91,117.00,115.59
116.95,117.13,118.13,116.22
116.11,116.02,117.44,115.75
116.22,116.41,116.89,115.80
116.13,116.12,116.63,115.74
115.53,115.39,117.19,114.76
114.93,115.57,116.56,113.53
114.10,115.07,115.53,114.00
115.57,115.87,116.00,115.09
114.82,114.53,115.47,113.02
115.15,115.22,115.45,114.54
114.97,113.68,114.97,113.53
113.49,113.91,114.37,112.12
114.51,113.20,114.51,112.55
112.50,112.54,113.37,111.96
112.26,113.35,113.96,112.26
114.58,113.08,114.69,112.56
113.20,114.00,114.21,112.30
112.11,113.24,114.22,111.50
112.66,111.42,113.50,111.28
111.06,112.93,113.04,111.06
