OSIS,OSI Systems,NASDAQ
46.07,45.95,46.64,45.66
45.56,46.54,46.82,45.56
45.92,44.38,46.43,44.11
44.20,44.17,44.64,43.14
44.12,44.83,45.44,43.64
44.01,43.68,44.40,43.36
43.65,44.33,45.02,43.63
43.89,42.80,43.89,42.60
42.51,42.51,43.15,42.20
43.95,44.80,44.81,43.88
44.76,44.98,45.06,44.41
46.61,47.81,47.83,45.90
47.49,46.56,48.00,46.54
49.04,47.27,49.04,46.00
47.98,47.85,48.25,47.46
47.74,47.65,48.05,46.97
47.41,47.83,47.92,46.55
47.29,45.72,47.92,45.67
45.72,47.36,47.56,45.72
46.71,47.52,47.53,46.50
47.81,45.08,48.34,45.01
44.90,45.14,46.09,44.90
45.78,46.19,46.50,44.95
46.72,46.10,47.27,45.59
46.36,45.33,47.15,45.25
46.28,48.30,48.41,46.04
48.36,48.41,48.60,47.39
48.49,48.15,48.99,47.76
48.21,48.52,48.89,48.02
48.32,48.73,49.37,47.70
48.62,49.06,49.41,48.50
49.18,49.00,49.89,48.52
49.04,48.78,49.32,48.75
50.00,49.46,50.50,48.76
49.07,49.75,50.03,48.27
49.52,49.87,50.40,49.05
49.70,49.87,50.56,49.49
50.26,50.41,51.06,50.01
51.01,50.66,51.01,50.42
50.37,50.66,51.05,50.37
50.79,50.26,50.94,50.00
49.57,50.32,50.40,49.30
50.69,50.50,50.95,50.16
52.00,54.17,54.26,52.00
54.65,55.05,55.66,54.54
55.01,55.91,56.50,54.87
56.15,53.11,56.15,52.84
54.90,56.46,56.62,54.06
56.70,56.22,57.51,55.56
56.20,54.42,56.20,53.76
54.42,54.31,54.63,54.27
53.83,53.49,54.08,53.37
54.07,53.73,54.44,53.23
53.93,55.08,55.19,53.76
55.19,55.23,55.83,55.01
56.30,56.83,57.00,55.60
56.32,55.56,56.90,55.35
55.50,54.44,55.61,54.16
54.78,54.72,55.23,54.10
54.97,53.35,54.97,53.31
52.81,52.64,53.08,51.99
53.24,53.80,53.96,52.73
53.22,53.48,53.66,52.97
53.76,52.46,54.51,52.29
52.47,53.50,54.07,52.47
53.76,53.17,54.48,53.02
53.21,52.73,53.60,52.66
52.51,52.59,52.93,52.25
52.56,53.86,53.96,52.37
53.87,53.58,53.87,52.96
54.15,59.81,59.88,54.15
59.76,59.35,60.33,58.62
59.75,59.00,59.99,58.86
59.51,58.50,59.51,57.42
58.67,59.06,59.63,58.17
58.90,59.83,59.88,58.65
59.12,59.29,59.40,58.32
59.67,58.38,59.67,58.13
58.57,60.14,60.22,58.38
60.12,61.00,61.87,60.12
60.83,60.85,61.40,59.87
61.15,61.50,61.99,60.67
61.63,60.75,61.86,60.28
61.04,61.35,61.37,59.60
61.20,60.12,61.20,59.69
60.21,60.94,61.33,58.88
60.52,61.00,61.05,60.15
61.00,61.51,61.68,60.88
61.20,61.20,61.33,60.71
61.07,61.92,61.92,60.70
62.36,63.14,64.08,62.19
63.32,62.35,63.40,61.46
62.26,61.80,62.55,60.57
61.26,61.83,62.16,60.00
62.41,61.30,62.41,61.30
61.26,61.66,62.61,60.80
61.79,61.24,62.39,60.54
60.36,59.59,60.48,59.05
59.11,60.27,60.66,59.11
59.10,59.57,60.34,59.04
59.67,57.19,59.67,57.00
57.76,59.25,59.50,57.42
59.38,60.26,60.91,58.52
59.81,60.32,60.53,59.59
60.55,60.80,61.00,59.67
61.46,61.87,62.83,61.25
61.70,62.24,62.38,60.63
62.16,61.05,62.51,60.37
62.70,61.53,62.70,61.33
60.44,61.68,61.95,60.06
62.31,61.47,64.89,61.19
62.54,62.99,63.46,62.54
62.64,64.91,65.33,62.64
