UUUU,Energy Fuels Inc Ordinary Shares (Canada),NASDAQ
1.42,1.42,1.45,1.39
1.42,1.48,1.49,1.40
1.50,1.60,1.60,1.49
1.61,1.64,1.65,1.57
1.67,1.75,1.75,1.66
1.77,1.84,1.85,1.75
1.85,1.68,1.91,1.65
1.67,1.66,1.68,1.58
1.65,1.57,1.71,1.57
1.57,1.72,1.73,1.56
1.74,1.73,1.79,1.70
1.75,1.68,1.75,1.65
1.68,1.73,1.78,1.67
1.74,1.69,1.75,1.68
1.71,1.70,1.74,1.64
1.72,1.67,1.74,1.65
1.72,1.58,1.75,1.52
1.68,1.50,1.72,1.48
1.51,1.56,1.62,1.50
1.55,1.64,1.66,1.55
1.66,1.73,1.74,1.62
1.74,1.79,1.81,1.73
1.80,1.95,2.00,1.79
2.00,1.95,2.06,1.87
1.95,1.91,1.96,1.83
1.98,2.18,2.20,1.95
2.20,2.30,2.38,2.18
2.35,2.16,2.41,2.10
2.17,2.29,2.30,2.10
