ANAT,American National Insurance Company - Common Stock,NASDAQ
68.05,67.37,68.77,67.37
67.31,67.70,67.70,66.85
67.02,68.02,68.23,67.02
67.67,68.80,69.03,67.60
68.88,68.21,69.32,68.21
68.32,68.89,69.37,68.32
67.90,67.00,68.24,66.83
66.73,66.79,67.61,66.73
66.73,66.93,67.51,66.70
67.24,67.58,68.13,67.24
67.70,67.99,68.21,66.58
67.51,68.29,68.65,66.75
69.01,69.26,69.60,68.62
69.36,69.60,69.83,69.01
69.85,69.74,70.19,69.48
69.66,69.57,70.45,69.56
69.43,69.89,70.16,69.10
70.42,70.39,70.85,69.35
70.35,71.05,71.39,69.85
71.24,71.98,72.37,71.00
71.76,72.59,72.89,71.76
72.60,73.57,73.60,72.60
73.47,74.21,74.43,73.00
74.74,75.63,75.98,74.05
74.70,76.58,76.96,74.70
76.78,77.05,77.43,76.71
76.80,77.04,77.56,76.25
76.70,77.24,78.24,76.70
77.18,77.14,78.02,76.85
77.46,77.61,78.00,77.04
77.98,78.15,78.50,77.35
78.00,79.05,79.21,77.96
79.15,77.21,79.15,75.98
77.23,78.28,78.99,77.22
77.76,78.48,78.90,77.76
79.20,79.78,79.81,78.97
79.78,79.36,79.82,78.60
78.76,79.95,80.27,78.46
80.65,80.61,81.30,80.35
81.43,81.74,82.19,80.40
81.83,81.75,82.48,80.61
82.23,82.19,82.56,81.02
81.91,81.29,81.95,81.10
81.27,79.83,81.30,79.83
79.75,82.66,82.66,79.75
82.81,80.62,82.92,80.62
81.28,81.65,82.48,78.01
81.85,82.19,82.95,80.76
83.05,81.82,83.98,81.19
81.97,83.23,83.85,80.08
83.59,81.51,84.78,80.77
81.83,80.37,82.03,80.06
80.64,80.05,80.64,79.00
79.44,80.16,80.77,79.01
80.91,81.04,81.40,80.21
80.76,80.08,81.22,80.05
80.17,81.31,81.64,80.17
80.41,81.69,81.76,80.41
81.19,81.65,81.74,80.42
81.77,82.14,82.95,81.77
81.96,81.64,82.70,81.64
81.75,81.74,82.19,81.66
82.10,83.02,83.02,81.90
82.31,82.72,83.48,82.00
83.29,83.13,83.50,82.06
83.46,83.70,83.92,82.34
83.12,83.60,84.02,83.12
84.76,84.19,85.41,83.90
84.89,85.30,85.84,83.68
86.00,85.63,86.00,85.24
85.48,85.81,86.00,85.20
86.16,86.87,87.34,85.25
87.35,87.27,87.66,86.55
87.68,85.82,88.27,85.81
85.56,85.09,86.92,84.79
85.08,85.90,86.08,84.62
85.22,87.13,87.33,85.22
87.19,87.10,87.34,86.54
87.33,86.89,87.35,86.13
86.82,87.82,88.52,86.82
88.30,88.21,89.02,86.86
87.59,88.10,89.02,87.22
87.68,86.71,88.73,86.00
87.59,90.30,90.50,86.85
90.30,89.21,91.32,88.46
89.80,87.75,90.01,87.75
88.42,87.24,88.75,87.03
87.10,86.95,87.32,86.58
86.00,87.11,87.30,86.00
87.32,88.61,89.20,86.00
89.33,92.00,92.18,88.99
91.46,91.24,92.52,90.90
91.54,91.37,92.76,91.37
91.41,94.03,94.03,91.41
94.00,94.93,95.62,93.63
95.40,97.12,97.12,95.29
97.53,98.20,99.00,97.53
98.40,98.02,99.20,97.85
98.77,98.90,99.40,98.13
98.90,99.00,99.00,97.81
98.58,97.74,98.90,97.11
97.60,97.75,97.93,97.17
95.71,97.95,98.00,95.70
97.70,98.51,98.51,96.95
98.29,98.61,99.47,98.29
98.54,98.70,99.36,98.48
99.15,98.48,99.48,98.46
98.28,98.55,99.12,98.28
98.95,98.73,99.30,98.46
98.75,99.40,99.40,98.34
98.84,99.39,99.39,98.52
98.81,98.70,98.81,98.53
99.38,100.51,100.58,99.38
100.01,100.44,101.24,99.92
100.85,100.92,101.35,100.15
100.25,99.88,101.18,98.28
99.41,98.86,100.38,98.34
98.79,99.02,99.48,98.58
98.99,96.40,98.99,96.17
96.85,97.17,97.17,95.50
97.44,98.60,99.13,97.44
99.20,99.23,99.87,98.31
98.28,100.00,100.27,98.28
