BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&P 500 BuyWrite Index Structured Product,NASDAQ
53.22,53.29,53.36,53.05
53.64,53.64,53.64,53.64
53.27,53.33,53.34,53.27
nan,53.33,nan,nan
nan,53.33,nan,nan
53.26,53.15,53.44,53.15
53.17,53.17,53.17,53.17
nan,53.17,nan,nan
53.34,53.25,53.34,53.25
53.84,53.84,53.84,53.84
53.71,53.58,53.71,53.50
53.81,53.46,53.84,53.46
54.13,53.75,54.13,53.75
53.28,54.05,54.05,53.28
nan,54.05,nan,nan
nan,54.05,nan,nan
nan,54.05,nan,nan
53.69,53.69,53.69,53.69
53.79,53.97,54.02,53.79
54.17,53.72,54.20,53.72
53.58,54.00,54.02,53.58
nan,54.00,nan,nan
53.65,53.82,53.83,53.65
54.45,54.45,54.45,54.45
nan,54.45,nan,nan
nan,54.45,nan,nan
53.78,53.78,53.78,53.78
54.00,53.94,54.00,53.94
nan,53.94,nan,nan
nan,53.94,nan,nan
53.60,53.60,53.60,53.60
53.72,53.69,53.72,53.69
nan,53.69,nan,nan
53.22,53.82,53.82,53.22
53.85,53.90,53.95,53.85
nan,53.90,nan,nan
nan,53.90,nan,nan
54.22,54.22,54.22,54.22
54.36,54.36,54.36,54.36
nan,54.36,nan,nan
54.39,54.39,54.39,54.39
54.60,54.60,54.60,54.60
nan,54.60,nan,nan
54.86,54.86,54.86,54.86
54.35,54.35,54.35,54.35
54.37,54.37,54.37,54.37
54.32,54.32,54.32,54.32
nan,54.32,nan,nan
54.47,54.47,54.47,54.47
54.27,54.27,54.27,54.27
54.39,54.39,54.39,54.39
54.78,54.63,54.78,54.63
nan,54.63,nan,nan
54.50,54.45,54.50,54.45
nan,54.45,nan,nan
nan,54.45,nan,nan
55.29,55.29,55.29,55.29
nan,55.29,nan,nan
nan,55.29,nan,nan
nan,55.29,nan,nan
54.75,54.75,54.75,54.60
nan,54.75,nan,nan
nan,54.75,nan,nan
55.16,55.15,55.25,55.15
55.17,55.13,55.22,55.13
nan,55.13,nan,nan
55.15,55.14,55.38,54.92
54.94,54.89,55.04,54.75
55.09,54.70,55.09,54.61
54.78,55.06,55.06,54.78
54.60,54.65,54.65,54.60
55.05,55.29,55.29,55.05
nan,55.29,nan,nan
nan,55.29,nan,nan
nan,55.29,nan,nan
nan,55.29,nan,nan
55.72,55.72,55.72,55.72
55.48,55.48,55.48,55.48
nan,55.48,nan,nan
56.53,55.66,56.53,55.66
55.65,56.16,56.16,55.65
