MBCN,Middlefield Banc Corp. - Common Stock,NASDAQ
17.25,17.25,17.25,17.25
17.15,17.15,17.15,17.15
17.15,17.15,17.15,17.15
17.00,17.00,17.00,17.00
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.75,17.75,17.50
17.75,17.75,17.75,17.75
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.75,17.75,17.75,17.75
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
17.95,18.00,18.00,17.95
18.00,18.00,18.00,18.00
18.10,18.25,18.25,18.10
18.25,18.25,18.25,18.25
19.00,19.00,19.00,19.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.25,19.25,19.25,19.25
18.50,19.25,19.25,18.50
19.25,19.25,19.25,19.25
19.25,19.25,19.25,19.25
19.50,19.50,19.50,19.50
19.50,19.50,19.50,19.50
19.24,19.24,19.24,19.24
19.24,19.24,19.24,19.24
19.24,19.24,19.24,19.24
19.24,19.24,19.24,19.24
19.24,19.24,19.24,19.24
19.24,19.24,19.24,19.24
19.25,19.25,19.25,19.25
19.25,19.25,19.25,19.25
19.25,19.25,19.25,19.25
19.25,19.25,19.25,19.25
19.90,19.95,19.95,19.90
19.95,19.95,19.95,19.95
19.95,19.95,19.95,19.95
19.95,19.95,19.95,19.95
19.97,20.15,20.15,19.97
20.15,20.15,20.15,20.15
20.15,20.15,20.15,20.15
20.15,20.15,20.15,20.15
20.15,20.15,20.15,20.15
20.97,20.97,20.97,20.97
20.97,20.97,20.97,20.97
21.00,21.25,21.25,21.00
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
21.25,21.25,21.25,21.25
21.27,21.27,21.27,21.27
21.27,21.27,21.27,21.27
21.27,21.27,21.27,21.27
21.27,21.27,21.27,21.27
22.00,22.25,22.25,22.00
22.25,22.25,22.25,22.25
22.25,22.25,22.25,22.25
22.25,22.25,22.25,22.25
23.00,23.00,23.00,23.00
24.50,24.50,24.50,24.50
24.50,24.50,24.50,24.50
24.00,24.00,24.00,24.00
22.25,22.25,22.25,22.25
22.25,22.00,22.25,22.00
22.99,23.00,23.00,22.99
21.71,21.71,21.71,21.71
21.71,21.71,21.71,21.71
21.71,21.71,21.71,21.71
21.71,21.71,21.71,21.71
22.10,22.10,22.10,22.10
22.10,22.10,22.10,22.10
22.10,22.10,22.10,22.10
22.10,22.10,22.10,22.10
22.10,22.10,22.10,22.10
22.27,22.27,22.27,22.27
22.27,22.27,22.27,22.27
22.27,22.27,22.27,22.27
22.27,22.27,22.27,22.27
22.65,23.00,23.00,22.65
22.30,22.30,22.30,22.30
22.30,22.30,22.30,22.30
22.35,22.35,22.35,22.35
22.49,22.49,22.49,22.49
22.05,22.00,22.05,22.00
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
22.50,22.50,22.50,22.50
22.50,23.00,23.00,22.50
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.25,22.50,22.25
22.25,22.25,22.25,22.25
22.20,22.20,22.25,22.20
22.25,22.50,22.50,22.25
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
23.15,23.50,23.50,23.15
23.50,23.50,23.50,23.50
22.57,22.57,22.57,22.57
22.57,22.57,22.57,22.57
22.57,22.57,22.57,22.57
21.75,21.75,21.75,21.75
21.75,21.75,21.75,21.75
21.75,21.70,21.75,21.70
22.00,22.00,22.00,22.00
22.00,22.00,22.00,22.00
21.55,21.55,21.55,21.55
21.55,21.55,21.55,21.55
21.55,21.55,21.55,21.55
21.55,21.55,21.55,21.55
21.55,21.55,21.55,21.55
23.00,22.55,23.00,22.55
22.55,22.55,22.55,22.55
22.55,22.55,22.55,22.55
23.00,23.00,23.00,23.00
21.75,21.75,21.75,21.75
21.75,21.75,21.75,21.75
21.75,21.75,21.75,21.75
23.00,23.50,23.50,23.00
