TISA,Top Image Systems,NASDAQ
1.46,1.48,1.54,1.46
1.48,1.43,1.48,1.41
1.49,1.48,1.51,1.43
1.42,1.43,1.44,1.38
1.44,1.42,1.45,1.32
1.36,1.37,1.41,1.32
1.33,1.34,1.42,1.25
1.31,1.35,1.38,1.31
1.37,1.38,1.40,1.30
1.38,1.33,1.39,1.28
1.29,1.27,1.36,1.26
1.28,1.26,1.29,1.24
1.26,1.22,1.26,1.20
1.22,1.24,1.25,1.17
1.24,1.25,1.26,1.20
1.24,1.23,1.24,1.20
1.24,1.23,1.25,1.17
1.18,1.40,1.55,1.18
1.44,1.51,1.54,1.42
1.45,1.58,1.60,1.45
1.56,1.58,1.60,1.55
1.52,1.55,1.56,1.50
1.55,1.59,1.60,1.54
1.56,1.51,1.57,1.51
1.51,1.52,1.53,1.50
1.52,1.50,1.52,1.41
