LORL,Loral Space and Communications,NASDAQ
39.15,39.40,39.60,39.15
39.45,40.05,40.40,39.35
40.15,39.80,40.30,39.65
39.70,39.50,39.70,39.20
39.70,39.50,39.85,39.30
39.50,39.30,39.65,39.20
39.30,39.70,39.80,39.30
39.85,40.05,40.15,39.75
40.00,41.25,41.35,40.00
41.55,42.00,42.10,41.50
41.90,41.90,42.10,41.70
41.95,42.05,42.15,41.65
42.05,41.95,42.15,41.65
41.50,41.85,42.20,41.15
42.00,41.25,42.00,41.00
41.20,41.40,41.60,41.00
41.55,41.05,41.55,40.45
41.35,40.85,41.75,40.45
40.85,41.10,41.55,40.85
41.15,41.20,41.40,40.75
41.35,41.05,41.35,40.50
40.90,40.35,41.40,40.20
40.30,40.55,40.60,40.00
40.50,40.50,40.75,40.30
40.45,40.25,40.45,39.55
40.20,40.35,40.50,40.15
