CPSI,Computer Programs and Systems,NASDAQ
25.35,25.80,25.95,25.20
25.85,25.60,26.05,25.40
25.50,25.45,25.80,25.40
25.50,25.00,25.80,24.95
25.00,24.10,25.20,23.95
24.05,23.50,24.35,23.40
23.45,23.75,23.90,23.35
23.80,23.70,23.80,23.55
23.70,23.85,23.90,23.65
23.90,24.05,24.25,23.80
24.05,23.80,24.30,23.75
23.80,22.50,24.12,22.38
22.50,23.35,23.45,22.50
23.20,23.55,23.70,23.20
23.50,23.60,23.60,23.05
23.55,23.80,24.10,23.48
23.80,23.60,23.90,23.25
23.80,23.90,24.25,23.50
23.95,24.00,24.55,23.80
24.00,23.50,24.00,23.40
23.50,23.20,24.00,23.02
23.20,23.00,23.60,22.82
23.05,23.10,23.50,22.95
23.10,23.00,23.45,22.90
22.90,22.45,22.95,22.40
22.60,23.00,23.25,22.25
