ANTM,Anthem,NASDAQ
55.21,54.97,55.69,54.86
54.73,54.77,55.14,54.50
54.96,55.64,55.81,54.82
55.77,55.90,56.10,55.26
56.02,56.08,56.29,55.46
56.01,55.68,56.52,55.66
55.61,56.10,56.45,55.33
56.12,56.62,56.64,55.88
56.67,57.78,57.78,56.67
57.57,58.21,58.36,57.37
57.28,58.89,59.03,57.28
58.93,59.24,59.95,58.93
59.21,59.02,59.60,58.67
58.55,58.49,58.96,58.02
58.51,60.03,60.05,58.51
59.97,60.57,60.60,59.60
60.62,59.97,60.66,59.91
60.22,61.51,61.52,60.10
61.34,61.31,61.65,60.68
61.38,61.07,61.38,60.68
61.07,61.15,61.52,60.88
61.06,60.48,61.22,59.94
60.14,59.89,60.81,59.88
59.76,60.92,60.97,59.48
61.08,60.92,61.89,60.44
60.24,58.93,60.24,58.75
59.20,59.29,59.68,58.98
59.05,59.74,59.84,58.83
59.71,60.07,60.61,59.45
60.17,62.05,62.11,59.99
62.35,62.24,62.37,61.36
62.56,61.75,62.56,61.52
61.46,62.44,62.69,61.07
62.42,63.01,63.01,61.78
62.79,61.85,62.85,61.60
62.13,62.42,62.62,61.92
62.30,62.75,62.75,62.02
62.76,63.80,63.94,62.64
64.50,64.83,65.00,62.66
64.61,65.69,65.90,64.10
65.78,66.17,66.27,65.08
66.27,66.06,66.31,65.44
66.21,65.95,66.41,65.72
66.14,65.39,66.30,65.37
65.22,64.82,65.28,64.71
65.04,65.32,65.37,64.53
65.00,64.82,65.99,64.69
65.28,65.84,66.20,65.28
65.44,65.41,66.03,65.29
65.56,65.70,65.81,64.94
65.98,66.28,66.62,65.38
66.06,66.01,66.19,65.40
66.00,66.01,66.25,65.43
64.14,63.00,64.84,62.85
63.07,63.29,64.02,62.63
63.18,62.70,63.81,62.57
60.72,62.77,62.80,60.41
62.80,62.58,63.00,62.34
62.60,62.71,63.16,62.10
62.81,61.92,63.20,61.68
62.17,61.46,62.84,61.46
61.62,61.83,61.98,61.20
61.76,62.46,62.58,61.52
62.42,62.18,62.76,61.78
61.98,61.88,62.47,61.56
61.73,61.82,62.01,61.52
61.97,62.27,62.56,61.65
62.02,62.52,62.57,61.76
62.60,62.70,63.00,62.57
62.88,63.03,63.46,62.47
63.04,63.49,63.68,62.60
63.47,64.14,64.21,63.35
64.14,64.84,65.15,63.98
64.99,65.18,65.28,64.50
64.84,64.98,65.44,64.60
64.54,64.55,64.84,64.19
64.69,64.31,64.90,64.14
64.64,64.02,64.88,63.91
63.65,63.63,64.23,63.42
63.86,64.03,64.04,63.31
64.12,64.11,64.39,63.80
64.37,64.76,65.18,64.35
64.63,65.61,65.61,64.42
65.71,66.23,66.33,65.40
66.29,67.44,67.70,65.82
69.25,68.46,70.58,68.24
68.35,68.15,69.34,68.12
68.15,68.49,69.25,67.94
68.20,67.99,68.39,67.51
68.05,67.72,68.13,67.04
67.89,68.48,68.93,67.75
68.86,69.46,69.88,68.60
69.48,70.06,70.14,69.26
69.95,69.79,70.44,69.33
69.46,68.28,69.70,68.26
68.81,70.16,70.52,68.69
69.67,69.03,70.36,68.66
68.20,67.18,68.41,66.68
67.47,68.71,68.77,67.39
68.71,68.25,68.77,67.98
68.60,69.33,69.64,68.32
72.00,73.33,74.43,71.39
73.65,73.75,74.27,73.18
73.43,72.87,74.21,72.38
73.26,72.90,73.98,72.75
73.22,72.92,73.22,71.65
72.50,72.27,73.53,72.05
72.62,73.42,73.63,72.53
73.83,73.82,74.32,73.65
73.82,73.51,74.26,73.37
73.64,74.71,75.04,73.47
74.29,75.05,75.35,74.18
74.67,75.39,75.49,74.51
75.39,75.89,75.98,75.24
75.53,76.01,76.03,75.16
76.51,78.00,78.01,76.51
77.98,77.83,78.10,77.40
77.42,76.84,77.80,76.79
76.82,77.81,77.89,76.82
77.79,77.49,78.33,77.32
77.53,78.10,78.66,77.24
78.02,77.81,79.58,77.68
77.21,77.98,78.10,77.05
77.34,76.98,77.52,76.18
77.83,78.72,79.15,77.70
78.13,78.00,78.50,77.72
78.01,79.38,79.60,77.77
79.05,76.97,79.47,76.93
77.07,77.50,77.69,76.12
77.23,77.44,77.75,76.68
77.39,75.68,77.43,75.22
75.39,76.44,76.44,75.02
76.90,77.39,77.87,76.59
77.43,79.56,79.78,77.43
78.37,78.38,78.94,77.30
78.72,78.07,78.86,77.80
77.84,78.93,79.03,77.12
78.83,78.16,79.47,77.81
78.71,78.77,79.25,78.15
