KRU,ProShares Ultra S&P Regional Banking,NASDAQ
149.53,155.40,155.40,149.53
156.00,162.25,162.25,153.70
163.00,170.15,170.75,160.28
170.00,164.75,171.44,160.63
161.55,162.52,162.52,156.45
156.77,161.45,161.87,156.64
152.18,160.48,160.48,152.18
164.05,164.30,165.75,160.73
164.90,160.76,164.90,160.00
162.86,158.00,162.86,154.41
164.17,168.02,168.02,163.20
170.56,166.98,170.56,163.82
166.98,166.98,166.98,166.98
165.18,165.46,165.46,163.50
166.80,167.05,167.60,166.50
165.10,162.49,165.10,162.49
160.94,163.21,164.16,158.98
159.99,163.10,163.10,159.99
167.92,164.00,167.92,163.12
164.00,166.45,167.95,164.00
163.05,162.84,163.05,161.58
163.59,165.84,166.14,163.03
162.80,161.31,162.80,159.00
159.96,160.81,164.38,159.96
162.00,164.08,164.08,162.00
80.79,80.14,80.79,77.80
83.50,81.76,83.50,80.38
