IYH,iShares U.S. Healthcare ETF,NASDAQ
143.19,143.33,143.39,142.49
142.22,141.94,142.24,140.21
141.82,142.34,142.44,140.79
142.78,143.84,144.21,142.78
143.46,144.54,144.64,143.46
145.12,145.56,145.83,145.11
145.55,145.13,146.34,144.73
145.33,146.08,146.18,145.20
146.16,146.22,146.66,145.78
146.35,145.42,146.87,145.32
146.01,145.43,146.01,145.11
145.06,144.01,145.14,143.84
144.04,144.27,144.27,143.38
144.31,145.50,145.51,144.31
145.76,145.53,146.45,145.47
145.75,144.47,145.75,144.42
144.60,144.56,145.03,144.37
144.49,144.13,144.72,143.66
144.05,145.70,145.75,144.05
146.17,147.03,147.45,145.99
147.00,147.81,147.87,146.90
147.93,148.30,148.73,147.59
148.56,149.15,149.39,148.15
149.23,149.68,150.35,149.05
149.90,148.01,150.41,146.82
147.14,148.25,148.33,147.00
148.63,148.47,149.07,148.30
