ACN,Accenture plc Class A Ordinary Shares (Ireland),NASDAQ
117.63,117.29,118.25,116.17
117.86,117.72,118.58,117.29
118.13,118.41,118.89,117.73
118.65,121.57,121.65,118.45
121.67,121.74,122.39,121.27
121.33,123.31,123.46,120.86
122.86,123.61,123.79,122.60
123.80,125.40,125.72,123.68
125.25,123.65,125.65,123.43
123.45,124.55,125.28,123.26
124.58,123.00,125.16,122.44
123.23,123.65,124.44,123.16
124.04,124.10,124.27,123.01
118.55,117.90,119.98,117.60
118.06,117.79,118.63,117.01
117.40,117.48,118.21,117.11
117.36,117.55,118.48,117.21
118.00,116.61,118.00,116.09
116.98,117.01,117.98,116.51
117.56,117.13,117.95,116.59
117.38,116.46,117.81,115.82
116.91,116.74,117.80,116.43
116.98,114.99,117.14,114.95
114.99,116.30,116.74,114.34
116.14,115.00,116.35,114.92
114.94,115.06,115.99,114.64
115.40,116.12,116.26,114.91
115.62,115.78,115.96,114.84
115.35,116.95,117.44,115.35
