DIA,SPDR Dow Jones Industrial Average ETF,NASDAQ
131.39,132.09,132.14,131.34
132.22,131.67,132.35,131.65
131.73,130.98,131.86,130.41
130.27,131.13,131.24,130.04
131.71,131.80,131.97,131.18
131.56,132.30,132.68,131.23
132.15,131.67,132.40,131.05
130.66,130.51,130.77,129.95
130.10,130.39,130.71,129.93
128.96,129.12,129.59,128.84
128.87,127.01,129.07,126.92
128.17,127.85,128.29,127.74
128.12,129.72,129.79,128.04
129.32,128.40,129.36,128.27
129.23,129.07,129.70,128.68
129.83,130.94,131.13,129.81
130.27,130.15,130.80,130.08
130.23,129.54,130.67,128.82
129.96,129.98,130.53,129.90
128.74,129.02,129.08,128.16
129.27,129.72,130.23,129.26
130.50,130.64,130.83,130.11
130.56,131.85,132.03,130.49
132.09,132.00,132.41,131.66
131.81,131.80,132.02,131.49
131.85,132.53,133.14,131.40
132.04,132.40,132.51,131.65
132.41,131.81,132.58,131.50
131.13,130.09,131.32,129.97
129.50,129.84,130.25,129.45
129.17,129.08,129.33,127.91
128.00,128.34,129.12,127.38
128.81,128.44,129.28,128.21
127.80,128.18,129.16,127.73
127.18,126.95,127.69,126.60
126.82,126.31,127.59,126.07
126.78,126.18,127.37,126.13
126.21,124.57,126.25,124.55
124.53,123.31,124.65,123.09
123.69,124.81,124.81,123.44
124.90,124.83,125.48,124.19
123.95,124.71,124.80,122.82
124.92,125.12,125.16,123.96
124.93,124.26,125.10,123.97
125.23,125.60,125.92,124.90
124.53,123.99,124.61,123.74
124.02,123.70,124.74,123.01
122.13,121.01,122.42,120.91
121.09,120.78,121.28,120.19
120.64,121.09,121.32,120.52
121.99,123.93,123.99,121.95
125.17,124.52,125.43,124.26
124.12,125.43,125.43,123.86
126.38,123.98,126.49,123.85
124.40,125.59,125.66,124.04
125.34,124.89,125.94,124.48
125.12,126.37,126.94,124.95
126.77,127.34,127.48,126.64
126.80,127.13,127.54,126.65
127.73,128.06,128.71,127.51
128.12,127.96,128.49,127.11
128.15,125.44,128.34,125.34
126.13,126.23,126.48,125.78
125.06,124.76,125.09,124.32
125.03,125.08,125.51,124.25
125.40,126.01,126.23,125.32
125.02,125.80,125.86,124.25
127.75,128.45,128.57,127.44
128.62,128.36,128.77,127.69
128.37,129.15,129.23,128.24
128.62,128.78,129.41,128.30
127.79,127.57,127.81,126.87
127.42,127.24,127.50,126.71
127.96,126.35,128.14,125.91
126.43,125.91,126.49,125.19
125.21,125.57,126.16,124.77
125.92,127.62,127.71,125.86
127.25,127.12,127.51,126.75
127.53,127.82,128.15,126.29
127.49,128.96,129.15,127.43
129.27,129.32,129.71,128.81
128.35,128.04,128.66,127.81
126.02,126.91,127.18,125.53
126.93,125.86,127.01,124.94
126.60,126.51,127.04,126.00
128.17,128.58,129.03,127.93
129.02,130.54,130.89,128.98
130.31,130.40,130.99,130.12
130.25,129.69,130.53,129.69
130.47,129.45,130.50,129.18
128.66,128.54,129.29,127.51
130.06,130.73,131.07,129.88
130.94,130.90,131.61,130.88
131.32,131.38,131.89,131.29
130.94,131.55,131.84,130.89
131.50,131.57,131.87,131.11
131.15,131.93,131.95,130.79
131.74,131.62,131.90,131.02
132.05,131.66,132.16,131.32
131.51,131.72,131.99,131.44
131.77,132.57,132.75,131.50
132.29,132.42,132.52,132.19
132.19,132.38,132.47,131.99
132.57,131.77,133.02,131.57
131.57,131.47,131.80,130.94
131.26,130.38,131.29,130.20
130.21,131.38,131.56,130.06
131.42,131.06,131.57,130.95
130.75,130.86,131.30,130.60
130.87,130.92,131.28,130.63
130.38,129.92,130.39,129.65
130.64,130.88,131.40,130.04
130.74,130.23,130.80,129.63
130.37,130.37,130.83,130.04
131.16,132.82,132.83,131.16
132.89,132.94,133.09,132.57
132.77,132.48,133.16,132.42
132.60,133.09,133.45,132.59
133.46,133.37,133.65,133.08
133.27,135.39,135.71,133.21
135.62,135.86,136.48,135.41
135.57,135.53,135.88,135.24
135.15,135.61,135.79,135.15
135.85,135.73,136.24,135.55
135.20,135.95,135.98,135.00
136.21,135.47,136.24,135.40
134.92,135.32,135.73,134.88
135.53,134.34,135.90,134.28
134.37,133.90,134.51,133.74
134.44,134.60,134.94,133.85
133.92,134.05,134.48,133.36
134.62,134.78,135.69,134.53
135.11,134.48,135.38,133.94
134.75,134.68,135.11,134.10
135.15,135.52,135.71,134.96
136.09,135.96,136.44,135.48
135.40,135.65,135.86,135.32
135.42,134.59,135.74,134.55
134.40,133.28,134.45,133.07
133.91,133.13,134.10,133.08
133.26,133.13,133.83,132.75
133.34,134.02,134.19,133.06
134.65,135.30,135.36,134.57
134.95,135.43,135.46,134.85
135.26,135.36,135.77,135.00
134.80,133.11,134.80,132.81
132.93,133.10,133.39,132.04
131.60,130.74,131.63,130.53
131.00,130.50,131.25,130.34
131.19,130.78,131.35,130.09
130.68,130.79,131.23,130.09
131.35,130.60,131.59,130.23
131.02,131.98,132.44,130.97
132.56,130.67,132.61,130.47
130.46,130.87,131.13,130.11
131.28,132.05,132.63,131.20
131.05,129.25,131.05,128.65
129.18,127.99,129.68,127.99
127.36,127.92,128.79,127.28
128.19,128.04,128.54,127.70
127.41,127.53,128.92,127.33
127.82,125.76,128.04,125.46
125.57,125.51,126.05,125.01
125.25,125.60,125.77,124.42
126.63,127.63,127.68,126.51
127.31,127.71,127.87,126.75
127.65,128.15,128.22,127.54
128.67,129.89,129.91,128.66
129.12,129.52,129.52,128.79
129.18,128.68,129.65,128.51
