IHI,iShares U.S. Medical Devices ETF,NASDAQ
131.21,131.71,131.75,130.26
131.25,131.51,131.63,129.77
131.43,132.63,133.00,131.23
132.88,134.00,134.00,132.88
133.66,134.54,135.05,133.66
134.81,135.07,135.77,134.51
135.05,134.07,135.55,133.57
134.34,134.57,134.71,133.36
134.91,133.96,135.30,133.74
134.05,133.76,134.58,133.58
133.91,133.34,134.02,132.98
132.81,132.63,133.00,132.50
132.51,132.91,132.91,132.30
132.65,133.59,133.78,132.65
133.86,133.85,134.64,133.79
134.18,133.01,134.18,132.91
133.13,133.31,133.78,133.06
133.51,133.15,133.83,132.67
133.29,133.60,133.60,132.60
133.91,134.39,134.79,133.65
134.37,134.53,134.81,134.25
134.62,136.12,136.32,134.62
136.63,136.83,137.16,136.23
137.30,139.26,139.69,137.19
139.64,139.58,140.18,137.74
139.10,139.18,139.27,137.96
139.52,140.27,140.92,139.52
