ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),NASDAQ
1.35,1.38,1.40,1.33
1.40,1.42,1.42,1.35
1.41,1.40,1.43,1.38
1.42,1.38,1.42,1.36
1.38,1.39,1.40,1.35
1.39,1.31,1.40,1.31
1.35,1.32,1.36,1.31
1.33,1.36,1.39,1.33
1.42,1.35,1.42,1.34
1.24,1.23,1.28,1.20
1.24,1.24,1.27,1.13
1.24,1.22,1.24,1.20
1.20,1.19,1.20,1.12
1.17,1.19,1.21,1.16
1.20,1.20,1.24,1.19
1.22,1.20,1.23,1.19
1.20,1.35,1.35,1.20
1.32,1.37,1.41,1.30
1.37,1.45,1.46,1.36
1.44,1.37,1.47,1.35
1.40,1.43,1.45,1.39
1.45,1.47,1.49,1.44
1.53,1.47,1.54,1.44
1.43,1.41,1.47,1.38
1.44,1.42,1.46,1.40
1.43,1.42,1.45,1.40
1.40,1.41,1.45,1.37
1.47,1.38,1.48,1.37
1.38,1.40,1.41,1.32
