PPLT,ETFS Physical Platinum Shares,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
154.09,154.40,155.00,153.00
154.65,155.36,155.48,154.32
154.76,154.23,154.82,153.00
155.06,156.45,157.00,154.78
154.52,154.34,154.72,154.06
154.00,151.20,154.16,150.39
149.05,149.31,150.08,148.42
149.73,150.55,150.90,149.40
150.60,150.48,150.93,149.20
150.56,152.08,152.68,150.56
150.80,149.80,150.81,149.40
150.15,150.46,151.12,149.90
148.42,146.16,148.57,145.76
140.99,137.62,142.12,137.46
142.12,142.13,143.32,141.06
141.07,139.68,141.80,139.68
139.84,140.00,140.84,139.30
139.87,139.98,139.98,139.08
141.04,140.68,141.04,140.20
139.48,138.77,139.62,138.30
139.98,140.38,140.43,139.45
142.49,143.74,144.20,142.30
145.65,144.84,146.91,144.00
147.78,148.08,149.53,147.32
147.92,147.49,147.92,147.10
144.98,144.86,145.44,143.80
145.94,146.99,147.02,145.14
152.47,147.02,152.47,145.56
146.75,147.68,147.89,146.26
145.58,145.25,145.58,144.76
146.44,147.32,147.81,146.40
147.32,147.58,148.82,147.12
145.82,146.10,146.16,144.25
145.44,145.04,145.53,144.81
146.72,147.40,147.98,146.64
146.61,145.80,146.68,144.10
144.88,145.52,146.07,144.68
144.39,142.66,144.39,142.28
142.05,146.40,146.62,141.85
