IDU,iShares U.S. Utilities ETF,NASDAQ
118.05,117.46,118.07,117.30
117.92,119.09,119.09,117.88
118.23,119.48,119.55,117.51
119.27,120.60,120.62,119.27
120.22,121.76,121.84,120.22
121.97,122.89,123.00,121.91
123.30,120.42,124.04,120.32
120.17,121.22,121.38,119.58
121.40,122.69,123.09,121.40
123.22,123.12,123.22,122.15
122.97,123.24,123.55,122.83
122.04,121.67,122.65,121.62
121.34,122.08,122.21,121.32
122.06,122.00,122.30,121.64
121.86,122.16,122.40,121.53
122.27,120.97,122.27,120.77
121.44,122.52,122.54,121.17
122.55,121.83,122.73,121.53
121.71,121.44,121.89,120.82
121.64,121.98,122.61,121.61
122.13,122.06,122.32,120.99
121.67,122.49,122.71,121.56
122.61,120.77,122.75,120.76
120.65,120.52,120.75,120.00
120.63,121.73,121.79,120.39
121.83,121.93,122.00,121.08
121.62,121.70,121.96,121.10
