SLMBP,SLM Corporation - Floating Rate Non-Cumulative Preferred Stock,NASDAQ
46.89,46.89,46.89,46.89
46.21,46.95,46.95,46.13
45.93,46.35,46.55,45.86
46.35,46.55,46.55,46.35
46.64,46.65,46.74,46.64
46.72,47.00,47.00,46.65
47.00,47.00,47.00,47.00
47.00,47.00,47.00,47.00
47.03,47.05,47.09,47.00
46.33,47.50,47.50,46.30
47.50,47.05,47.50,47.05
46.45,46.85,46.85,46.30
46.50,46.50,46.50,46.50
46.90,46.85,46.90,46.85
47.25,47.25,47.25,47.25
47.00,47.00,47.00,47.00
47.02,48.75,48.75,47.02
49.05,49.05,49.05,49.05
46.87,48.00,48.00,46.87
48.47,48.25,48.47,48.25
49.00,48.50,49.00,48.47
49.01,48.97,49.01,48.97
49.50,49.88,49.99,48.91
49.02,49.50,49.50,49.02
49.50,49.50,49.50,49.50
49.60,49.31,49.75,49.30
49.44,49.50,49.50,49.44
49.75,49.75,49.99,49.75
49.72,49.72,49.72,49.60
49.75,49.75,50.04,49.75
51.25,51.25,51.25,51.25
51.25,51.25,51.25,51.25
49.54,49.50,49.54,49.50
49.50,49.50,49.50,49.50
49.50,49.50,49.50,49.50
49.95,49.05,49.97,49.00
49.55,49.55,49.55,49.55
50.00,49.37,50.00,49.37
49.37,49.37,49.37,49.37
50.17,50.45,50.50,50.17
50.40,50.25,50.50,50.25
50.50,50.51,51.14,50.50
50.51,50.51,50.51,50.51
50.51,50.50,50.51,50.50
50.50,50.50,50.50,50.50
51.99,51.99,51.99,51.99
50.60,50.25,50.60,49.70
50.25,50.25,50.25,50.25
50.25,50.25,50.25,50.25
50.27,50.28,50.28,50.25
50.28,50.28,50.28,50.28
51.90,52.41,52.41,51.86
52.50,51.75,52.50,51.37
51.75,51.75,51.75,51.75
51.75,51.85,52.09,51.71
51.90,52.50,52.50,51.88
52.05,51.29,52.05,51.29
52.47,52.50,52.50,52.47
51.29,51.50,51.55,51.29
52.72,52.72,52.77,52.54
52.61,52.63,52.72,52.61
52.66,52.17,52.66,52.02
52.98,52.10,53.25,52.00
52.57,52.55,52.57,52.55
52.26,52.00,52.26,51.75
52.00,52.00,52.19,52.00
52.00,52.00,52.00,52.00
52.08,52.08,52.08,52.08
52.05,52.05,52.05,52.00
52.05,52.05,52.05,52.05
52.05,52.05,52.05,52.05
53.30,53.00,53.46,53.00
53.00,53.00,53.00,53.00
53.00,53.26,53.26,53.00
53.24,53.28,53.28,53.24
53.00,53.27,53.27,52.95
52.29,53.00,53.28,52.14
52.20,52.32,52.32,51.83
53.00,52.25,53.00,52.00
52.54,52.90,52.90,52.36
52.85,52.90,52.90,52.45
52.76,53.00,53.00,52.76
53.00,53.10,53.10,53.00
53.20,53.20,53.20,53.20
52.61,52.95,52.98,52.56
52.95,52.95,52.95,52.95
52.95,52.95,52.95,52.95
52.91,53.00,53.00,52.90
53.99,52.59,53.99,52.59
51.71,52.50,53.00,51.71
52.50,52.50,52.50,52.50
52.94,53.00,53.03,52.94
52.51,52.50,52.89,52.50
52.50,53.02,53.02,52.50
52.95,53.00,53.15,52.30
53.96,53.50,53.96,53.05
54.79,54.89,54.90,54.25
55.25,55.25,55.25,54.90
54.96,55.00,55.00,54.96
53.03,53.03,53.03,53.03
53.03,53.03,53.03,53.03
55.00,54.90,55.00,54.90
54.95,55.00,55.00,54.85
55.14,54.50,55.14,54.50
55.00,55.20,55.25,54.95
55.10,55.52,55.52,55.10
55.59,55.59,55.59,55.59
55.60,56.00,56.05,55.60
56.89,59.80,59.80,56.50
56.12,58.00,59.98,56.12
59.50,59.00,60.00,59.00
59.95,59.05,59.95,58.97
59.09,59.09,59.09,59.09
59.14,59.16,59.16,59.14
59.20,59.25,59.30,59.20
59.25,58.00,59.25,57.99
57.50,58.25,58.48,57.50
58.11,57.50,58.25,57.50
58.49,58.48,58.99,58.00
58.93,58.09,59.00,58.00
57.80,57.50,57.80,57.50
57.75,57.69,57.75,57.69
57.85,56.97,58.00,56.97
57.02,57.02,57.02,57.02
57.70,57.75,58.00,57.70
57.61,57.61,57.61,57.61
58.00,56.55,58.00,56.55
57.98,57.93,57.98,57.93
56.36,56.36,56.36,56.36
56.01,56.01,56.01,56.01
57.48,57.02,57.48,57.02
57.26,57.00,57.26,57.00
57.07,57.04,57.07,57.04
57.87,57.25,57.87,56.96
57.25,57.25,57.25,57.25
57.25,57.25,57.25,57.25
57.22,58.75,58.88,57.22
58.00,57.02,58.00,57.02
58.95,57.99,58.95,56.90
57.99,57.99,57.99,57.99
57.99,57.99,57.99,57.94
57.99,57.99,57.99,57.99
57.95,58.75,58.90,57.95
58.94,58.95,59.00,58.35
59.00,58.31,59.00,57.81
58.69,59.00,59.00,58.69
59.03,58.75,59.95,58.15
59.76,59.50,61.50,58.50
61.50,59.45,61.50,58.74
59.06,59.35,61.50,59.00
59.99,59.00,61.50,58.69
61.50,59.19,61.50,59.00
60.32,59.89,61.90,59.70
59.25,59.80,59.85,59.25
59.45,59.22,59.45,58.13
59.00,59.22,59.88,58.25
59.25,59.25,59.25,59.25
59.00,59.25,59.25,59.00
59.26,58.50,59.26,58.50
58.59,58.61,59.44,58.59
59.24,59.05,59.25,58.95
59.99,59.74,59.99,59.74
59.77,60.20,62.97,59.77
60.24,60.44,62.25,59.97
60.25,60.25,60.25,60.25
60.25,60.25,60.25,60.25
60.26,60.94,60.94,60.00
60.94,60.94,60.94,60.94
60.74,60.45,60.74,60.01
60.35,60.94,60.94,58.52
61.50,61.00,61.50,60.25
60.99,60.95,61.00,60.70
61.50,60.50,61.50,59.95
62.25,60.75,62.25,59.53
61.00,60.75,61.00,60.50
60.75,60.75,60.75,60.50
60.75,60.75,60.75,60.75
60.75,60.75,60.75,60.75
60.75,60.90,60.92,60.55
61.00,60.92,63.00,60.50
61.25,62.25,63.00,61.25
