BRK.B,Berkshire Hathaway Inc. New Common Stock,NASDAQ
84.70,84.54,85.00,84.38
84.43,84.77,84.87,84.21
84.61,84.99,85.12,84.50
85.07,84.94,85.28,84.71
84.95,84.71,85.19,84.66
84.79,85.22,85.50,84.53
85.48,85.87,85.87,85.20
85.50,85.75,85.76,85.27
85.86,85.22,85.89,85.02
85.25,85.69,85.95,85.02
85.65,85.15,85.68,85.12
85.00,85.39,85.51,84.92
85.39,85.41,85.76,85.13
85.08,84.92,85.56,84.89
84.58,84.55,84.81,84.13
84.15,84.01,84.35,84.00
84.41,84.34,84.66,83.97
84.24,84.25,84.45,84.03
84.44,85.19,85.34,84.34
85.49,86.47,86.47,85.41
86.71,86.64,86.71,86.42
86.62,86.61,87.14,86.47
86.62,86.76,86.97,86.48
86.73,86.73,87.05,85.24
86.53,88.56,88.60,86.53
88.52,88.70,89.23,88.12
88.57,88.52,88.74,88.32
88.50,88.61,88.61,88.19
88.46,88.95,89.24,88.46
88.25,89.33,89.50,87.91
89.87,89.54,89.95,89.27
88.94,88.66,89.67,88.65
88.91,88.12,89.41,88.11
88.31,88.33,89.11,88.21
88.62,88.26,88.66,88.07
88.30,88.20,88.50,87.41
88.72,88.66,89.55,88.35
89.10,88.83,89.31,88.40
89.15,89.49,89.68,88.50
89.85,90.36,90.51,89.57
90.52,90.42,90.76,90.10
90.37,90.17,90.61,90.13
90.05,89.26,90.51,89.22
89.22,88.73,89.53,88.51
89.55,88.71,89.60,88.66
89.03,88.25,89.59,88.23
88.43,89.11,89.30,88.27
89.65,89.93,90.00,89.50
90.00,90.50,90.58,89.86
90.61,90.62,90.93,90.30
90.35,89.26,90.50,88.50
89.22,88.51,89.35,87.85
87.75,86.95,87.77,86.80
87.47,86.94,87.70,86.81
87.45,87.15,87.45,86.79
87.14,86.66,87.15,86.26
86.88,86.35,87.00,86.18
86.64,87.68,87.68,86.54
88.36,86.93,88.44,86.92
87.02,86.86,87.20,85.42
87.25,87.29,87.39,86.63
86.75,85.45,87.00,85.27
85.60,84.58,86.48,84.51
84.40,85.18,85.81,83.85
85.40,85.27,85.56,85.01
84.83,85.87,86.67,84.75
86.14,84.88,86.32,84.85
85.17,85.30,85.75,84.99
85.42,85.91,86.05,84.80
86.72,86.76,86.88,86.19
86.61,86.79,86.87,86.04
86.98,87.58,87.59,86.73
88.00,88.50,88.51,87.71
88.30,88.29,88.32,87.93
88.29,88.08,88.88,87.91
87.84,88.27,88.30,87.25
88.51,87.97,88.62,87.57
88.01,88.08,88.27,87.75
88.28,87.75,88.62,87.73
87.89,87.27,87.95,87.10
87.45,87.62,87.97,87.02
87.61,87.49,87.87,87.19
87.79,87.33,87.80,87.01
87.30,87.10,87.33,87.01
87.32,87.27,87.67,86.95
88.00,89.32,90.04,87.80
89.47,89.44,89.82,89.03
89.50,89.15,89.74,89.09
89.75,89.98,90.02,89.50
89.97,90.37,90.40,89.81
90.37,90.10,90.71,89.68
90.30,90.69,90.83,90.02
90.09,89.83,90.75,89.66
89.79,89.83,90.03,89.37
89.93,89.26,90.00,89.01
89.22,89.22,89.67,88.76
88.86,88.55,89.06,88.55
88.49,89.70,89.82,88.11
91.32,93.20,93.20,91.29
93.11,93.62,94.34,92.82
93.74,93.85,94.05,93.36
93.80,93.45,93.88,93.14
93.38,93.81,93.81,92.98
94.08,93.32,94.08,93.02
93.78,94.65,94.69,93.41
94.72,94.39,94.75,94.22
94.55,95.36,95.36,94.18
95.11,95.36,95.48,94.76
95.20,95.03,95.28,94.81
95.44,95.30,95.50,94.84
95.50,95.16,95.59,94.58
95.16,95.91,95.92,94.88
96.00,96.48,96.56,95.49
96.59,97.31,97.73,96.53
97.71,97.39,97.75,96.78
97.42,97.12,97.54,96.75
97.31,97.24,97.36,96.98
97.32,96.88,97.33,96.44
96.50,96.93,97.11,96.30
97.56,98.00,99.00,97.20
97.76,96.51,98.00,96.36
97.17,97.91,98.04,97.00
97.35,97.83,97.89,97.26
97.80,97.11,97.97,97.01
97.25,97.25,97.33,96.73
97.46,97.13,97.50,97.04
97.07,97.70,97.99,97.01
97.72,97.97,98.20,97.59
97.84,99.21,99.31,97.84
99.64,99.77,99.79,99.23
99.98,101.02,101.08,99.70
101.14,100.22,101.49,100.02
100.09,100.17,100.55,99.67
100.50,101.21,101.27,100.22
101.74,98.58,102.00,98.44
99.05,98.72,101.00,98.25
98.58,101.21,101.27,98.58
101.44,102.16,102.33,101.31
101.45,102.05,102.26,100.44
101.66,101.95,101.98,100.50
102.48,102.66,103.48,102.33
103.29,103.24,103.56,102.76
103.25,103.41,103.58,103.03
103.98,103.63,104.00,103.10
103.77,104.07,104.15,103.41
104.09,103.01,104.19,102.12
103.06,103.65,103.70,102.97
103.81,103.99,104.25,103.59
103.67,102.79,103.79,102.79
102.11,102.12,102.85,101.91
102.37,101.77,102.74,101.30
102.18,102.34,102.57,101.87
101.94,101.96,102.57,101.73
101.99,102.57,102.70,101.95
103.00,102.40,103.27,101.92
102.89,103.82,103.84,102.46
103.21,103.16,103.45,102.64
103.32,104.20,104.48,102.97
104.17,103.47,104.46,103.17
103.96,105.14,105.50,103.80
105.53,104.24,105.53,104.05
104.66,105.13,105.56,104.36
103.91,104.15,104.39,103.34
103.99,105.26,105.29,103.62
105.38,105.12,105.47,104.78
105.27,106.33,106.37,104.91
106.38,106.73,106.98,106.02
106.50,107.04,107.05,106.30
106.84,104.52,107.43,104.27
105.29,107.16,107.49,105.15
106.42,105.17,106.69,104.30
105.02,103.00,105.23,102.69
103.46,105.28,105.46,103.09
105.52,105.02,105.72,104.13
105.42,106.68,106.71,105.30
106.72,106.75,107.00,106.36
107.02,107.47,108.04,106.82
107.54,107.10,107.90,106.50
107.19,106.61,107.40,106.41
106.60,106.32,106.70,105.63
105.97,106.12,107.09,105.97
106.49,107.30,107.33,106.24
108.26,108.64,109.20,108.23
110.95,110.00,111.25,109.45
110.49,109.90,110.50,109.46
109.96,110.94,110.98,109.43
110.85,110.66,111.34,110.35
111.10,111.82,111.88,111.00
111.83,111.74,112.34,111.41
112.08,112.67,112.73,111.80
112.57,112.77,112.98,112.15
112.52,111.54,112.53,111.25
111.95,113.02,113.10,111.76
112.87,113.00,113.55,112.58
113.07,112.70,113.34,112.45
112.82,111.85,113.45,111.11
110.46,111.29,111.72,109.11
110.50,110.83,110.83,109.92
112.17,112.28,112.50,111.76
111.66,113.03,113.46,111.41
113.37,114.84,115.00,113.31
114.82,114.07,115.00,113.88
114.76,114.07,114.76,113.03
113.95,113.42,114.00,112.90
112.90,111.51,113.16,111.05
111.34,113.10,113.17,111.15
113.89,115.31,115.55,113.53
115.56,115.15,115.98,114.80
