LH,Laboratory Corporation of America Holdings Common Stock,NASDAQ
125.65,125.11,126.02,124.36
124.63,126.38,127.11,123.41
126.37,127.06,127.75,125.50
126.90,127.79,128.23,126.36
128.15,129.15,130.81,127.57
129.24,129.61,130.43,129.07
129.15,127.35,129.59,126.70
127.29,127.38,127.82,126.44
127.82,127.76,128.80,126.78
127.62,127.82,129.12,127.11
127.80,128.36,129.38,127.58
128.38,128.43,129.01,127.78
128.52,126.82,129.24,126.44
127.11,128.23,128.53,126.96
128.27,128.69,129.91,128.27
128.71,127.56,129.14,127.12
127.38,128.17,128.39,127.35
128.31,128.38,128.64,127.33
129.17,129.07,130.38,128.20
129.55,130.10,130.16,128.93
129.67,129.11,130.79,128.15
128.99,129.34,129.69,128.64
129.44,130.73,130.99,129.44
130.98,132.06,132.63,130.33
132.41,134.94,135.92,132.38
134.65,134.65,134.89,133.45
134.31,134.33,135.99,134.12
