PHII,PHI,NASDAQ
16.52,16.60,16.60,16.52
17.18,16.75,17.18,16.72
16.65,16.65,16.65,16.65
16.56,16.50,16.61,16.42
15.85,16.76,16.76,15.85
16.76,16.76,16.76,16.76
16.76,16.76,16.76,16.76
16.70,16.41,17.10,16.41
16.43,17.40,17.41,16.43
17.40,18.15,18.15,17.28
17.71,18.26,19.05,17.71
18.38,18.10,18.38,18.10
17.81,17.80,17.94,17.10
18.15,17.60,18.15,17.56
17.55,17.85,17.85,17.10
17.85,17.85,17.85,17.85
17.93,17.53,17.93,17.40
17.38,17.70,17.86,17.21
17.22,17.20,17.25,17.20
17.07,17.07,17.07,17.07
16.99,17.50,17.50,16.94
17.03,16.92,17.41,16.92
17.00,17.00,17.00,17.00
17.45,17.43,17.45,17.43
