JJP,iPath Bloomberg Precious Metals Subindex Total Return SM Index ETN,NASDAQ
88.80,88.87,88.95,88.73
88.59,88.52,88.73,88.52
88.68,89.23,89.62,88.68
90.55,90.13,90.55,90.13
89.90,88.62,90.04,88.47
87.93,87.61,88.07,87.61
87.77,88.09,88.09,87.62
88.72,88.60,88.72,88.39
88.24,88.55,88.55,88.24
89.52,89.63,89.82,89.52
88.38,88.86,88.86,88.38
89.48,89.48,89.48,89.48
90.03,90.51,90.65,89.99
88.66,89.50,89.50,88.66
90.77,90.91,91.21,90.77
91.11,91.11,91.11,91.11
91.40,91.40,91.40,91.40
91.33,91.10,91.33,91.10
90.52,89.96,90.52,89.92
89.13,89.13,89.13,89.10
89.11,88.95,89.11,88.95
89.27,89.56,89.56,89.21
90.81,90.73,90.91,90.67
89.56,89.74,90.14,89.56
90.11,90.11,90.27,90.11
90.03,90.15,90.15,89.82
90.33,90.14,90.33,89.94
90.14,90.14,90.14,90.14
89.89,90.45,90.45,89.89
90.45,90.45,90.45,90.45
88.60,88.60,88.60,88.60
88.55,88.58,88.58,88.52
88.54,88.08,88.54,88.08
88.15,87.73,88.15,87.43
86.52,85.86,86.52,85.86
87.38,85.34,87.38,85.33
84.15,82.88,84.29,82.88
83.10,83.63,83.91,83.10
83.51,83.89,83.89,83.30
83.89,83.89,83.89,83.89
84.53,85.81,85.82,84.52
85.47,84.73,85.52,84.57
84.02,83.55,84.67,83.55
83.37,83.44,83.94,83.37
83.15,83.31,83.80,83.15
83.56,83.56,83.67,83.56
83.49,84.11,84.23,83.49
84.11,84.11,84.11,84.11
83.40,84.17,84.24,83.40
83.84,83.92,83.92,83.71
84.57,84.88,84.88,84.55
84.88,84.88,84.88,84.88
84.27,84.28,84.33,84.16
84.66,84.24,84.66,84.24
84.88,84.84,85.12,84.83
84.97,85.29,85.45,84.93
85.12,85.00,85.12,84.69
85.42,85.51,85.51,85.42
85.00,84.77,85.00,84.77
84.33,84.84,84.84,84.32
84.38,84.41,84.41,84.24
84.51,84.62,84.62,84.51
84.12,84.12,84.12,84.12
83.88,83.83,83.88,83.83
83.00,82.37,83.00,82.37
82.11,81.08,82.11,81.08
80.61,80.62,80.95,80.61
81.45,82.03,82.03,81.45
80.01,82.23,82.23,80.01
81.78,83.26,83.33,81.78
82.92,81.83,82.92,81.83
81.89,82.30,82.32,81.89
80.09,78.51,80.09,78.51
72.86,70.41,73.00,69.97
72.02,71.45,72.22,71.12
70.90,70.90,70.90,70.90
71.03,71.04,71.88,71.03
71.83,71.47,72.43,71.28
72.67,73.01,73.69,72.67
72.11,72.16,72.20,71.82
72.98,72.92,72.98,72.46
75.00,75.49,75.69,75.00
75.29,74.98,76.18,74.35
75.05,75.32,75.39,75.02
75.40,75.39,75.60,75.14
73.90,74.71,74.71,73.50
75.15,75.30,75.66,75.15
75.02,75.25,75.86,75.02
75.29,75.29,75.29,75.29
73.86,74.46,74.46,73.86
74.84,75.14,75.31,74.84
74.61,74.42,74.73,74.42
73.21,74.06,74.06,72.19
73.24,73.43,73.60,73.09
72.71,73.23,73.31,72.66
71.97,71.21,72.38,70.96
70.27,70.95,71.40,70.27
69.99,69.50,70.08,69.40
69.53,70.89,70.89,63.11
69.70,70.06,70.46,69.57
70.56,69.44,70.56,69.44
70.64,71.12,71.13,70.64
70.71,70.68,70.77,70.63
70.53,70.28,71.32,70.28
70.19,70.99,71.00,70.19
72.26,72.17,72.26,72.13
70.91,70.58,70.91,70.38
72.13,71.86,72.13,71.86
71.35,71.06,71.45,71.06
71.63,71.48,71.63,71.38
