IYT,iShares Transportation AverageETF,NASDAQ
165.13,168.84,169.10,164.63
169.41,169.80,169.86,167.71
169.81,169.59,171.16,169.02
169.41,167.88,169.41,167.39
168.60,168.32,169.43,167.15
168.16,166.00,168.62,165.87
166.50,166.91,168.75,166.50
166.91,165.43,167.39,165.14
165.65,166.26,166.49,165.52
166.72,167.90,168.09,166.72
167.05,166.01,167.10,166.01
165.65,164.84,165.95,164.40
164.84,165.24,165.47,164.84
165.48,165.42,166.20,165.28
165.52,163.57,166.06,163.46
163.59,163.45,164.41,162.89
163.68,162.84,163.95,162.23
163.52,162.43,164.91,161.58
162.77,163.93,164.16,162.73
163.38,162.96,164.50,162.25
162.75,163.76,164.51,162.01
163.39,162.42,163.47,161.98
162.41,163.56,164.54,162.35
163.99,165.41,165.51,163.99
165.23,164.59,165.23,162.74
164.79,165.57,165.91,164.79
