IEO,iShares U.S. Oil & Gas Exploration & Production ETF,NASDAQ
65.95,65.88,66.22,65.54
66.71,66.72,67.57,66.65
66.15,66.87,67.14,65.69
66.73,67.40,67.58,66.66
67.69,67.87,68.12,66.91
68.32,68.01,68.32,67.71
70.34,67.60,70.34,67.39
68.56,68.67,69.16,67.53
68.50,66.71,68.50,66.65
66.32,66.92,67.21,65.84
67.21,66.98,67.30,66.65
67.00,67.04,67.21,66.73
67.50,66.66,67.50,66.52
66.92,66.47,66.99,66.38
66.66,66.86,67.12,66.44
66.67,66.80,67.06,66.60
67.04,67.06,67.31,66.95
67.20,66.24,67.22,66.05
66.18,65.82,66.27,65.55
65.72,65.44,66.24,65.27
65.83,66.53,67.36,65.54
66.53,66.51,66.63,66.02
66.73,66.72,67.03,66.06
66.87,66.42,66.91,66.15
66.00,64.94,66.02,64.94
65.13,64.97,65.55,64.87
65.27,65.78,65.90,64.80
66.21,65.27,66.23,65.14
65.00,65.01,65.30,64.81
