LBIX,Leading Brands Inc - Common Shares,NASDAQ
1.65,1.65,1.72,1.65
1.75,1.70,1.75,1.61
1.65,1.69,1.69,1.61
1.60,1.59,1.68,1.59
1.59,1.60,1.62,1.59
1.60,1.52,1.60,1.51
1.58,1.59,1.60,1.55
1.56,1.58,1.58,1.53
1.57,1.60,1.63,1.57
1.58,1.62,1.62,1.57
1.61,1.60,1.61,1.60
1.57,1.52,1.59,1.51
1.58,1.54,1.58,1.54
1.56,1.52,1.57,1.51
1.47,1.56,1.56,1.47
1.55,1.55,1.55,1.55
1.53,1.55,1.60,1.50
1.58,1.53,1.60,1.51
1.60,1.61,1.61,1.47
1.60,1.61,1.61,1.50
1.60,1.60,1.66,1.50
1.60,1.74,1.74,1.57
1.82,1.62,1.82,1.62
1.75,1.77,1.80,1.67
1.82,1.77,1.82,1.74
1.80,1.75,1.82,1.65
1.80,1.75,1.82,1.64
