GST,Gastar Exploration Inc Common Stock,NASDAQ
3.39,3.17,3.45,3.15
3.18,3.20,3.23,2.91
3.36,3.21,3.36,3.17
3.20,3.21,3.28,3.18
3.39,3.07,3.39,3.07
3.16,3.30,3.30,3.16
3.39,3.30,3.39,3.22
3.31,3.31,3.34,3.20
3.32,3.29,3.35,3.26
3.19,3.27,3.29,3.19
3.25,3.11,3.29,3.05
3.11,3.17,3.24,3.06
3.20,3.18,3.20,3.14
3.04,3.27,3.30,2.90
3.27,3.17,3.27,3.14
3.17,3.22,3.24,3.12
3.24,3.31,3.31,3.23
3.25,3.19,3.32,3.17
3.26,3.22,3.26,3.18
3.21,3.11,3.23,3.10
3.12,3.03,3.14,3.00
2.95,2.87,3.00,2.87
2.89,2.89,2.98,2.86
2.85,2.85,2.92,2.82
2.86,2.67,2.86,2.66
2.68,2.72,2.75,2.65
2.89,2.86,2.92,2.81
2.85,2.99,2.99,2.82
2.97,3.12,3.14,2.95
3.15,2.93,3.15,2.91
2.94,2.96,2.97,2.85
2.94,2.89,3.02,2.89
2.93,3.00,3.00,2.90
3.13,3.05,3.13,2.99
3.06,3.00,3.09,2.96
3.07,3.05,3.08,3.00
3.03,3.02,3.08,2.99
3.01,3.03,3.07,3.00
3.01,3.07,3.09,3.01
3.08,3.01,3.10,3.00
2.98,2.95,3.01,2.94
3.00,3.03,3.07,2.94
3.03,3.02,3.03,2.95
2.99,2.98,3.09,2.97
3.00,3.05,3.07,2.96
3.05,3.08,3.09,3.02
3.11,3.20,3.25,3.09
3.21,3.16,3.25,3.16
3.18,3.15,3.20,3.10
3.15,3.19,3.22,3.10
3.16,2.99,3.19,2.93
2.99,2.99,3.08,2.97
3.00,2.87,3.04,2.87
2.92,2.83,2.94,2.82
2.85,2.72,2.92,2.71
2.72,2.83,2.89,2.71
2.85,2.77,2.85,2.75
2.79,2.84,2.86,2.78
2.74,2.87,2.89,2.60
2.89,2.88,2.95,2.80
2.88,2.76,2.88,2.75
2.81,2.81,2.83,2.67
2.81,2.71,2.85,2.69
2.71,2.73,2.86,2.71
2.75,2.95,2.95,2.71
3.04,3.26,3.36,3.02
3.26,3.18,3.34,3.15
3.19,3.24,3.27,3.16
3.25,3.09,3.28,3.00
3.11,3.07,3.15,3.02
3.28,3.21,3.28,3.14
3.24,3.13,3.24,3.11
3.15,3.00,3.17,2.97
2.96,3.02,3.07,2.90
3.04,2.99,3.08,2.97
3.00,2.95,3.06,2.92
2.98,2.86,2.98,2.85
2.77,2.73,2.85,2.73
2.74,2.77,2.79,2.70
2.73,2.69,2.78,2.69
2.68,2.54,2.73,2.51
2.58,2.56,2.66,2.54
2.56,2.65,2.67,2.54
2.65,2.53,2.66,2.52
2.58,2.51,2.60,2.50
2.53,2.57,2.60,2.53
2.53,2.45,2.53,2.45
2.48,2.48,2.53,2.46
2.52,2.55,2.62,2.50
2.56,2.49,2.56,2.46
2.48,2.60,2.60,2.47
2.65,2.65,2.66,2.59
2.65,2.80,2.80,2.62
2.82,2.86,2.86,2.78
2.86,2.81,2.86,2.77
2.80,2.76,2.81,2.69
2.75,2.71,2.82,2.68
2.72,2.59,2.73,2.59
2.59,2.50,2.59,2.50
2.48,2.46,2.53,2.40
2.43,2.55,2.59,2.38
2.48,2.48,2.52,2.40
2.49,2.37,2.50,2.36
2.34,2.14,2.35,2.05
2.08,2.07,2.20,2.06
2.10,2.15,2.22,2.10
2.15,2.05,2.20,2.04
2.04,2.00,2.08,2.00
2.00,1.99,2.04,1.98
1.99,2.06,2.09,1.99
2.05,1.94,2.08,1.91
1.94,1.91,1.96,1.86
1.91,1.89,1.98,1.86
1.90,1.97,1.97,1.88
2.00,1.96,2.01,1.93
1.91,1.83,1.95,1.81
1.83,1.80,1.91,1.78
1.74,1.72,1.85,1.69
1.69,1.70,1.78,1.66
1.65,1.72,1.81,1.65
1.76,1.81,1.85,1.75
1.86,1.72,1.93,1.71
1.70,1.65,1.75,1.64
1.68,1.55,1.72,1.55
1.57,1.66,1.66,1.57
1.66,1.68,1.70,1.63
1.67,1.82,1.88,1.67
1.80,1.87,1.91,1.75
1.86,1.92,1.92,1.79
1.94,1.90,1.98,1.88
