ESLT,Elbit Systems Ltd. - Ordinary Shares,NASDAQ
98.99,98.82,98.99,98.73
101.97,102.28,102.45,101.63
102.38,103.48,103.50,102.38
102.39,102.90,103.54,102.08
103.25,103.72,104.34,103.13
104.05,103.81,104.23,103.66
102.74,103.56,103.72,102.50
103.13,104.17,104.76,103.13
103.00,103.64,104.43,103.00
102.78,101.68,103.21,101.68
101.36,101.17,102.18,100.95
101.60,100.97,101.75,100.90
99.95,100.32,100.35,99.95
100.15,100.50,100.85,100.00
101.02,101.50,101.89,101.02
102.13,101.70,102.13,101.25
101.25,101.20,101.44,100.40
101.86,101.05,102.11,100.71
101.42,101.56,101.70,101.30
101.90,101.89,102.24,101.40
102.68,101.92,102.68,101.45
102.27,102.17,102.56,101.72
101.58,101.87,102.52,101.36
102.30,102.31,102.77,101.61
102.82,102.61,103.84,102.61
102.80,102.83,102.90,102.39
102.02,103.50,103.50,102.02
103.60,103.44,103.85,103.09
104.01,104.11,104.45,103.64
