VOT,Vanguard Mid-Cap Growth ETF - DNQ,NASDAQ
68.09,67.62,68.17,67.39
67.49,67.49,67.82,67.34
67.49,68.08,68.08,67.25
68.24,68.18,68.47,68.08
67.73,68.28,68.47,67.48
68.37,68.15,68.48,67.82
68.19,67.65,68.38,67.58
67.92,68.40,68.46,67.78
68.35,67.98,68.46,67.69
67.90,67.40,67.90,67.17
66.55,66.13,66.60,65.88
66.30,66.80,66.91,66.30
67.31,67.68,67.83,67.00
67.76,68.06,68.30,67.66
68.13,67.76,68.17,67.61
68.22,68.96,68.97,67.93
68.94,68.53,69.06,68.35
68.58,69.03,69.04,68.37
69.04,69.15,69.27,68.97
69.03,69.39,69.64,68.93
68.86,68.86,68.97,68.60
69.02,69.11,69.34,68.81
68.40,68.45,68.64,68.09
68.52,68.72,68.80,67.94
69.45,69.74,69.74,69.23
69.80,69.42,69.81,69.38
69.36,68.68,69.43,68.21
68.22,68.71,68.83,67.95
69.14,68.92,69.27,68.58
68.88,69.57,69.84,68.80
69.42,69.56,69.76,69.10
68.79,68.52,68.97,68.22
68.28,68.56,68.84,68.28
67.47,67.63,67.80,67.27
67.53,66.12,67.67,65.99
66.80,66.83,67.09,66.73
66.91,67.96,68.06,66.85
67.70,67.27,67.87,67.18
67.64,66.93,67.73,66.67
67.42,68.12,68.32,67.42
67.63,67.97,68.18,67.60
68.05,67.76,68.65,67.36
68.02,67.62,68.09,67.62
66.66,66.96,67.00,66.20
66.98,66.52,66.98,66.26
67.40,67.84,67.84,67.29
67.68,68.52,68.61,67.68
68.89,68.89,69.09,68.25
68.82,68.56,68.92,68.35
68.56,68.96,69.52,68.25
68.46,69.10,69.17,68.42
69.04,68.04,69.04,67.86
67.48,66.73,67.61,66.57
66.48,66.76,66.98,66.43
66.20,66.27,66.36,64.85
65.45,65.99,66.35,65.08
66.62,66.06,66.74,66.00
65.65,66.16,66.77,65.50
65.47,65.26,65.80,65.11
65.34,64.92,65.64,64.74
65.06,64.57,65.59,64.55
64.56,62.79,64.62,62.79
62.98,62.02,63.18,61.95
62.13,63.77,63.82,61.99
63.97,63.98,64.57,63.58
63.31,64.44,64.50,62.87
64.57,64.27,64.58,63.70
64.25,64.26,64.49,64.10
64.83,65.10,65.30,64.54
