IWN,iShares Russell 2000 Value ETF,NASDAQ
117.18,118.22,118.48,116.62
118.22,119.58,119.79,118.13
119.68,121.55,121.79,119.55
121.90,121.97,122.17,121.37
121.87,120.66,122.47,120.42
121.15,120.66,121.60,119.83
120.31,118.89,120.94,118.72
119.15,119.89,120.74,118.73
119.84,119.61,121.08,119.39
119.74,120.53,120.66,119.50
120.86,121.77,121.93,120.71
121.85,121.06,121.89,121.06
120.48,119.52,120.64,119.01
119.61,119.88,119.95,119.36
120.11,120.41,120.85,120.01
120.67,119.30,120.68,118.96
119.48,119.41,120.22,118.78
119.61,118.94,119.61,118.59
120.39,119.68,120.74,118.77
120.26,121.57,121.69,120.08
121.35,119.74,121.52,119.30
120.12,119.34,120.19,119.21
118.97,117.84,119.03,117.79
118.12,119.19,119.42,117.79
119.31,119.60,119.82,118.55
119.43,118.24,119.54,116.97
118.58,119.00,119.77,118.47
