GWR,Genesee & Wyoming Inc. Class A Common Stock,NASDAQ
84.70,85.47,85.64,84.05
85.47,85.20,85.64,83.82
84.50,81.45,86.66,81.39
82.77,86.02,87.12,82.77
86.69,87.67,88.71,83.31
87.46,88.84,89.46,87.46
89.14,89.85,89.96,88.21
89.73,90.16,90.18,88.75
90.03,89.73,91.13,89.48
89.62,89.58,90.21,89.05
89.26,89.12,89.98,88.58
89.14,91.55,91.60,89.14
91.43,91.63,91.98,91.10
91.55,91.53,92.11,90.92
91.81,92.60,93.61,91.55
92.31,92.59,93.05,91.66
92.31,90.89,92.99,90.78
90.95,89.10,91.55,88.57
87.99,87.81,88.50,87.25
87.39,87.96,88.04,85.75
89.63,90.04,90.63,89.22
88.97,89.25,89.75,88.11
89.44,89.20,90.38,88.93
88.84,89.05,90.91,88.54
89.28,88.47,89.68,87.14
88.33,87.57,90.19,86.92
87.19,85.78,87.54,85.03
85.35,86.52,86.52,85.24
87.22,88.10,89.06,86.44
88.16,88.36,89.32,87.28
