AE,Adams Resources & Energy,NASDAQ
42.99,42.31,43.70,42.31
42.20,42.88,43.29,41.43
43.31,42.21,44.00,42.21
43.00,42.21,43.34,41.42
42.66,42.67,42.67,41.44
41.97,40.91,42.68,40.67
40.75,40.49,41.17,40.21
40.80,40.98,40.99,39.01
40.43,41.06,41.53,40.43
41.93,42.02,42.02,40.25
41.87,42.73,43.84,41.87
41.92,40.81,42.75,40.81
41.75,42.69,42.75,41.75
42.38,41.09,42.79,40.91
40.08,41.50,42.88,40.08
41.75,40.66,41.99,40.66
41.03,39.65,41.42,39.62
40.09,40.02,40.75,39.88
40.05,41.75,41.75,40.05
41.50,40.90,41.99,40.90
40.71,40.54,40.71,40.54
40.74,39.72,40.74,39.61
39.47,40.05,40.69,38.26
40.12,39.70,40.50,39.50
40.14,39.01,40.14,39.01
39.66,39.01,39.81,38.70
