IDSA,Industrial Services of America,NASDAQ
4.98,5.01,5.13,4.86
5.03,4.99,5.05,4.88
4.85,4.95,4.95,4.72
4.97,4.85,4.97,4.66
4.73,4.75,4.75,4.60
4.71,4.72,4.74,4.71
4.73,4.75,4.89,4.54
4.89,5.03,5.03,4.88
5.06,5.13,5.14,5.06
5.13,5.17,5.17,5.13
5.17,5.12,5.66,5.06
5.62,5.17,5.62,5.06
5.19,5.19,5.19,5.19
5.21,4.75,5.56,4.43
4.62,4.80,5.09,4.62
5.00,4.89,5.00,4.77
4.65,4.91,4.99,4.60
4.82,4.80,5.00,4.80
4.74,4.79,4.96,4.71
4.74,4.99,5.00,4.74
4.86,4.94,5.00,4.84
4.98,4.98,4.98,4.85
4.97,5.09,5.50,4.90
5.01,4.81,5.01,4.81
4.80,5.09,5.19,4.80
5.09,5.02,5.17,5.01
5.04,5.07,5.15,4.88
5.06,5.05,5.10,5.05
5.09,5.15,5.20,5.01
5.19,5.13,5.19,5.12
5.13,5.00,5.13,5.00
5.02,5.21,5.27,5.02
5.14,4.81,5.25,4.81
4.80,4.96,4.96,4.80
4.85,4.85,4.90,4.75
4.79,4.72,4.88,4.69
4.79,4.85,4.85,4.74
4.75,4.84,4.85,4.69
4.86,4.99,5.14,4.85
4.99,4.99,4.99,4.99
4.86,4.88,5.00,4.86
4.99,4.95,5.00,4.85
4.88,4.88,4.94,4.85
4.85,4.96,4.99,4.85
4.91,4.72,5.00,4.50
4.71,4.74,4.86,4.61
4.72,4.77,4.77,4.72
4.68,4.82,4.82,4.68
4.80,4.94,5.10,4.75
5.03,5.05,5.07,4.92
4.97,4.99,5.00,4.95
4.92,4.75,4.98,4.74
4.77,4.97,4.98,4.65
4.87,4.96,4.97,4.75
4.95,4.77,4.95,4.77
4.70,4.75,4.75,4.55
4.68,4.59,4.68,4.51
4.71,4.62,4.72,4.56
4.64,4.91,5.22,4.64
4.88,5.05,5.11,4.54
4.85,4.70,4.85,4.70
4.50,4.83,4.89,4.50
4.74,4.72,4.89,4.54
4.64,4.68,4.87,4.60
4.62,4.75,4.77,4.62
4.67,4.88,4.88,4.67
4.78,4.76,4.78,4.66
4.67,4.67,4.69,4.57
4.63,4.65,4.66,4.57
4.60,4.67,4.73,4.54
4.65,4.76,4.80,4.59
4.69,4.60,4.69,4.54
4.54,4.55,4.55,4.54
4.51,4.51,4.51,4.51
4.51,4.36,4.69,4.30
4.29,4.25,4.29,4.25
4.25,4.17,4.28,4.17
