ISRG,Intuitive Surgical,NASDAQ
495.22,489.73,495.86,487.78
491.74,480.14,493.10,479.58
481.00,487.17,488.66,480.81
484.71,479.50,486.24,479.50
480.85,490.37,490.69,479.60
506.50,497.52,507.89,490.02
495.88,503.67,506.47,495.04
505.70,500.28,505.70,498.81
498.28,502.00,504.40,497.58
500.52,504.43,507.02,500.52
506.64,506.73,510.37,504.33
510.80,508.87,510.80,505.00
506.74,506.00,507.76,502.60
512.40,512.72,513.00,505.28
504.84,503.59,509.56,500.00
502.00,498.50,504.06,497.35
501.60,514.20,517.46,485.80
511.99,508.33,515.77,507.07
505.15,518.49,521.19,505.02
565.61,567.06,577.27,561.00
568.19,581.00,583.45,568.01
576.57,577.82,580.80,572.27
575.00,577.93,580.71,572.57
577.93,574.43,577.93,570.75
573.11,573.00,576.05,570.00
572.50,574.38,575.72,571.31
577.15,583.67,585.67,576.00
578.38,573.61,580.90,572.12
575.50,573.61,577.83,570.64
572.20,571.88,577.40,568.26
570.19,570.33,574.92,563.44
572.02,578.75,579.65,570.55
576.36,571.52,577.94,568.40
573.41,571.39,573.71,568.53
570.65,573.70,577.25,570.37
569.22,571.26,573.59,567.07
570.01,569.21,571.88,567.93
567.15,582.27,583.00,566.53
576.01,556.83,577.69,552.50
551.34,561.25,563.69,546.76
573.90,574.05,579.43,570.00
576.48,566.34,578.96,566.34
567.21,568.76,573.18,563.65
567.78,573.52,578.78,567.78
573.44,509.89,576.86,492.35
553.00,553.40,558.00,546.56
551.02,541.32,552.86,530.25
533.27,525.72,535.51,514.00
526.50,519.78,535.41,517.09
519.82,513.18,522.97,505.66
514.22,514.63,518.94,507.36
511.78,516.76,523.75,511.78
516.31,512.92,518.34,507.14
512.24,509.33,514.40,507.00
514.23,489.89,517.44,483.38
485.96,459.44,488.77,455.18
465.20,485.52,486.99,465.20
484.97,482.68,486.06,471.27
483.86,495.87,496.88,483.00
510.00,486.79,512.00,486.34
488.59,489.39,492.93,482.05
490.01,488.40,493.62,484.11
487.90,497.25,497.58,482.19
495.29,490.53,499.63,489.17
489.99,491.19,494.94,488.34
492.87,484.58,494.00,483.41
485.83,490.80,495.73,485.83
494.00,498.49,503.60,490.94
499.00,496.64,504.00,490.01
489.81,489.97,492.99,486.04
492.19,494.00,501.60,491.61
496.50,496.53,499.28,490.79
497.03,498.83,502.50,494.91
500.00,512.57,513.91,500.00
512.03,512.05,514.99,506.12
511.15,509.99,515.73,508.00
511.85,510.38,515.00,505.43
505.64,507.64,512.64,501.56
507.00,493.37,510.32,488.57
469.00,484.75,485.22,465.72
484.52,474.87,489.26,470.00
474.98,471.07,481.99,467.69
469.25,476.88,479.58,469.25
478.60,483.80,488.24,476.23
482.53,486.76,488.24,479.02
488.20,489.16,491.25,480.45
488.38,492.29,493.46,487.60
491.59,490.16,496.88,489.03
489.86,491.86,494.79,489.01
497.44,503.82,504.55,495.35
503.00,501.58,504.50,501.12
501.55,490.07,502.80,489.43
489.30,489.31,490.77,480.65
490.22,505.80,511.79,490.00
493.00,499.57,500.65,488.91
497.24,485.69,500.72,485.00
485.80,487.73,491.09,485.50
489.09,484.40,489.33,483.60
482.10,476.22,485.23,474.18
479.58,484.00,484.83,479.00
482.37,479.42,487.29,478.40
478.70,485.88,489.25,478.70
486.14,470.30,489.45,468.60
466.31,478.46,481.96,465.11
492.00,501.53,508.00,490.71
505.22,501.64,507.99,499.04
498.00,498.50,502.79,493.57
499.01,504.68,507.39,496.01
503.15,497.53,503.76,497.53
499.36,500.23,500.57,495.01
499.19,498.59,500.90,496.26
498.54,500.54,505.34,497.85
501.87,507.41,507.89,499.36
508.43,513.49,513.49,507.41
510.84,510.21,514.25,509.40
506.53,499.57,507.45,499.14
501.18,495.44,503.53,494.07
492.70,504.50,505.34,491.89
504.50,498.31,505.72,497.97
