SPYV,SPDR S&P 500 Value ETF (based on S&P 500 Value Index--symbol: SVX),NASDAQ
107.19,107.24,107.48,106.80
107.79,107.66,108.05,107.66
108.11,108.04,108.37,107.74
107.79,107.89,108.16,107.73
108.66,108.45,108.66,108.24
108.39,109.01,109.01,108.26
109.01,110.49,110.49,109.01
110.53,110.73,111.00,110.30
110.96,111.39,111.39,110.79
111.51,111.19,112.02,111.12
111.63,111.90,112.09,111.28
111.91,111.09,111.91,110.49
110.87,111.34,111.75,110.87
111.02,110.39,111.02,110.18
110.29,110.41,110.60,110.16
111.14,110.81,111.20,110.64
110.85,110.74,110.97,110.74
110.66,110.62,110.72,110.35
110.56,110.78,110.79,110.47
110.96,110.81,111.08,110.64
110.94,109.84,111.03,109.83
109.98,109.85,110.15,109.69
109.80,109.47,110.01,109.39
111.02,110.57,111.02,109.92
111.03,111.20,111.42,110.83
111.22,110.85,111.22,110.42
110.64,111.06,111.30,110.64
110.77,110.34,110.79,110.33
110.54,110.41,110.90,110.40
110.16,110.72,110.72,110.00
110.55,110.67,110.74,109.73
110.67,110.57,110.90,110.39
