PRKR,ParkerVision,NASDAQ
2.08,1.98,2.09,1.96
1.99,1.90,2.04,1.87
1.93,1.98,2.08,1.83
1.96,1.92,2.00,1.88
1.92,1.93,1.96,1.85
1.94,2.00,2.00,1.93
1.98,2.08,2.09,1.98
2.10,2.35,2.39,2.09
2.35,2.30,2.41,2.28
2.30,2.38,2.47,2.26
2.37,2.33,2.43,2.30
2.37,2.38,2.40,2.33
2.38,2.33,2.41,2.26
2.39,2.31,2.39,2.26
2.35,2.46,2.46,2.34
2.48,2.70,2.75,2.43
2.74,2.74,2.75,2.64
2.74,2.64,2.75,2.60
2.63,2.59,2.65,2.48
2.55,2.49,2.59,2.47
2.49,2.39,2.53,2.36
2.48,2.48,2.48,2.37
2.45,2.38,2.51,2.37
2.40,2.72,2.75,2.38
2.75,2.63,2.82,2.54
2.62,2.50,2.62,2.45
2.50,2.48,2.55,2.44
2.50,2.47,2.50,2.40
2.48,2.35,2.48,2.34
2.35,2.32,2.39,2.32
2.31,2.45,2.53,2.31
2.51,2.45,2.51,2.37
2.48,2.53,2.59,2.45
2.54,2.43,2.59,2.42
3.35,4.21,4.39,2.95
4.13,4.00,4.22,3.82
3.99,3.65,4.05,3.59
3.69,3.66,3.80,3.58
3.67,3.99,4.01,3.58
3.97,3.99,4.18,3.90
4.00,3.96,4.00,3.86
4.02,3.91,4.02,3.85
3.94,3.88,3.94,3.84
3.91,3.86,3.91,3.82
3.85,3.94,3.99,3.83
3.99,4.10,4.12,3.88
4.07,3.92,4.25,3.90
3.91,3.99,4.01,3.82
4.00,3.91,4.01,3.86
3.91,3.74,3.93,3.71
3.75,3.65,3.75,3.63
3.64,3.33,3.68,3.28
3.35,3.44,3.58,3.26
3.43,3.45,3.63,3.14
3.37,3.51,3.63,3.37
3.46,3.49,3.54,3.42
3.50,3.47,3.53,3.43
3.48,3.49,3.52,3.38
3.45,3.51,3.54,3.40
3.50,3.65,3.83,3.46
3.67,3.92,3.99,3.62
3.89,3.82,3.93,3.78
3.85,3.68,3.85,3.50
3.68,3.67,3.74,3.57
3.65,3.86,3.97,3.65
3.89,3.87,4.05,3.74
3.87,4.07,4.20,3.83
4.08,4.13,4.20,3.93
4.15,4.16,4.24,4.08
4.15,4.02,4.17,3.95
3.99,3.67,4.00,3.66
3.71,3.86,3.93,3.61
3.82,3.78,3.82,3.66
3.79,3.65,3.84,3.57
3.65,3.75,3.78,3.60
3.79,3.65,3.79,3.57
3.66,3.82,3.83,3.62
3.82,3.85,3.97,3.75
3.88,3.92,4.05,3.84
3.89,3.86,4.04,3.75
3.88,3.91,3.93,3.75
3.89,3.99,4.13,3.87
4.00,3.76,4.02,3.76
3.81,3.85,3.96,3.78
3.96,3.86,3.97,3.82
3.90,3.92,4.02,3.83
3.90,4.01,4.01,3.86
4.01,4.05,4.19,3.97
4.00,3.96,4.05,3.76
3.97,4.09,4.14,3.97
4.09,4.40,4.40,4.00
4.52,4.39,4.69,4.32
4.39,4.41,4.48,4.23
4.38,4.44,4.57,4.38
4.48,4.60,4.65,4.40
4.63,4.57,4.70,4.48
4.55,4.54,4.61,4.43
4.55,4.33,4.65,4.24
4.24,4.32,4.46,4.24
4.30,4.46,4.48,4.17
4.53,4.45,4.61,4.36
4.41,4.44,4.47,4.35
4.44,4.44,4.50,4.28
4.38,4.36,4.50,4.31
4.39,4.50,4.50,4.31
4.50,4.37,4.59,4.33
4.35,4.28,4.44,4.18
4.27,4.23,4.40,4.19
4.30,4.34,4.36,4.21
4.34,4.13,4.34,4.10
4.07,4.10,4.16,3.93
4.13,4.13,4.21,4.05
4.12,4.19,4.20,4.02
4.17,4.05,4.19,4.04
4.09,4.18,4.21,4.07
