ATAI,ATA Inc. - American Depositary Shares,NASDAQ
4.00,3.99,4.00,3.85
3.98,3.85,3.98,3.85
4.02,4.02,4.09,4.02
4.02,3.86,4.02,3.85
3.94,3.94,3.94,3.94
3.92,3.85,3.92,3.85
3.85,3.75,3.85,3.64
N/A,N/A,N/A,N/A
3.70,3.66,3.70,3.66
3.64,3.70,3.70,3.64
3.72,3.83,3.83,3.63
3.72,3.72,3.72,3.72
3.60,3.62,3.85,3.43
3.85,3.83,4.10,3.74
3.85,3.72,3.85,3.60
3.81,3.94,3.94,3.63
3.88,3.99,3.99,3.78
3.82,3.90,3.90,3.82
3.98,3.80,3.98,3.80
3.66,3.69,3.69,3.66
3.69,3.65,3.69,3.63
3.61,3.54,3.61,3.33
3.58,3.40,3.70,3.40
3.41,3.41,3.44,3.29
