KOSS,Koss Corporation - Common Stock,NASDAQ
4.75,4.75,4.75,4.75
4.79,4.75,4.79,4.70
4.89,4.90,4.90,4.89
4.76,4.77,4.77,4.76
4.89,4.84,4.89,4.80
4.84,4.75,4.85,4.75
4.71,4.85,4.86,4.71
4.81,4.80,4.81,4.80
4.82,4.73,4.82,4.60
4.75,4.78,4.78,4.75
4.85,4.75,4.90,4.75
4.90,4.90,4.90,4.85
4.88,4.96,4.97,4.88
4.90,4.80,4.90,4.80
4.83,4.85,4.85,4.83
4.80,4.80,4.85,4.80
4.91,4.80,4.91,4.75
4.80,4.80,4.80,4.80
4.83,4.76,4.86,4.76
4.86,4.75,4.91,4.75
4.76,4.76,4.76,4.76
4.76,4.83,4.83,4.76
4.76,4.83,4.83,4.76
4.88,4.80,4.88,4.80
4.80,4.80,4.80,4.80
4.80,4.84,4.84,4.80
4.91,4.85,4.91,4.85
4.76,4.79,4.79,4.76
4.79,4.75,4.79,4.75
4.90,4.81,4.91,4.77
4.81,4.97,5.03,4.81
4.99,4.83,4.99,4.77
4.83,4.83,4.83,4.83
5.01,5.01,5.01,5.01
5.00,5.03,5.03,5.00
