CIDM,Cinedigm Corp - Class A Common Stock,NASDAQ
1.28,1.46,1.50,1.28
1.46,1.35,1.53,1.35
1.34,1.50,1.52,1.34
1.51,1.46,1.54,1.46
1.49,1.39,1.49,1.39
1.39,1.37,1.48,1.35
1.40,1.43,1.48,1.39
1.46,1.35,1.46,1.35
1.35,1.39,1.40,1.27
1.42,1.39,1.42,1.33
1.38,1.44,1.44,1.31
1.40,1.40,1.44,1.39
1.40,1.40,1.44,1.35
1.40,1.42,1.48,1.38
1.40,1.40,1.44,1.33
1.40,1.40,1.44,1.37
1.39,1.38,1.43,1.36
1.39,1.44,1.45,1.38
1.41,1.39,1.42,1.39
1.42,1.38,1.44,1.38
1.38,1.30,1.43,1.30
1.30,1.26,1.33,1.23
1.26,1.29,1.32,1.20
1.29,1.35,1.37,1.29
1.39,1.57,1.93,1.34
1.44,1.39,1.54,1.31
1.31,1.27,1.31,1.20
