QRHC,Quest Resource Holding Corporation. - Common Stock,NASDAQ
1.95,1.96,1.96,1.93
1.95,1.97,1.98,1.94
1.96,1.94,1.99,1.93
1.95,2.03,2.03,1.95
2.00,2.00,2.07,2.00
2.11,2.13,2.13,2.02
2.13,2.10,2.13,2.01
2.07,1.97,2.07,1.91
1.97,1.95,2.25,1.95
1.97,2.05,2.14,1.96
2.08,2.00,2.08,2.00
1.99,2.02,2.05,1.98
2.00,2.06,2.09,1.99
2.01,2.03,2.09,2.01
2.05,2.07,2.09,2.00
2.09,2.09,2.09,2.02
2.06,2.25,2.25,2.01
2.24,2.12,2.30,2.08
2.12,2.30,2.30,2.12
2.31,2.45,2.48,2.21
2.48,2.33,2.55,2.20
2.32,2.33,2.48,2.32
2.38,2.49,2.53,2.26
2.50,2.37,2.50,2.26
2.52,2.53,2.55,2.35
2.47,2.32,2.47,2.29
2.45,2.44,2.45,2.30
2.44,2.50,2.50,2.32
2.55,2.62,2.88,2.49
