LIVE,Live Ventures Incorporated - Common Stock,NASDAQ
2.56,2.77,2.80,2.56
2.77,2.68,2.81,2.64
15.95,18.49,19.68,15.17
18.11,17.86,18.72,17.27
17.66,17.10,18.28,17.03
17.12,17.66,17.92,17.11
17.77,17.76,18.19,17.60
17.98,18.05,18.18,17.72
18.25,18.37,18.75,18.23
18.55,19.68,19.80,18.50
19.68,21.07,21.25,19.65
21.30,22.59,24.42,21.04
22.61,23.84,24.08,22.23
23.83,23.61,24.34,23.01
23.89,26.09,26.45,23.85
31.32,27.68,32.98,27.33
27.83,23.92,28.00,23.10
23.61,24.02,25.42,22.18
24.30,23.41,25.00,22.70
23.34,23.03,23.62,22.03
22.84,20.67,22.84,20.25
20.25,18.05,20.27,16.50
17.51,18.82,19.87,17.01
18.51,18.06,18.72,17.50
17.99,18.73,19.08,17.33
18.73,18.58,18.95,17.68
18.35,18.90,19.66,18.01
