MKL,Markel Corporation Common Stock,NASDAQ
429.54,427.83,429.54,426.36
427.66,428.70,431.97,426.39
428.00,431.59,431.84,426.99
434.51,434.50,444.83,430.05
432.11,433.05,435.74,431.42
433.40,436.19,437.98,432.71
436.45,432.23,439.45,431.85
430.20,432.25,433.64,430.02
433.00,436.20,438.18,433.00
437.44,438.49,439.99,434.52
439.20,438.55,444.02,438.37
439.72,440.93,442.34,437.89
441.10,440.50,443.00,439.33
442.04,435.50,442.04,433.09
436.99,435.57,438.05,435.00
436.85,431.75,438.87,431.75
432.54,433.25,435.60,432.06
435.20,433.00,435.96,432.27
429.40,431.60,432.69,429.40
434.86,434.90,439.78,434.60
435.00,435.85,436.53,432.74
435.94,434.05,439.99,433.22
435.00,433.38,437.56,432.00
433.70,433.00,439.87,431.33
432.20,438.65,438.77,432.20
436.75,439.70,440.47,436.75
439.32,440.00,441.47,437.36
438.05,444.99,444.99,438.05
444.42,445.22,451.87,442.93
442.25,441.56,446.49,440.00
442.80,443.35,447.78,442.02
444.40,447.80,449.69,442.16
446.10,444.25,449.84,443.67
451.02,453.30,455.00,445.81
452.84,454.21,459.26,452.49
457.00,452.42,459.90,452.41
454.40,452.75,457.63,452.12
454.74,452.69,455.73,451.56
452.07,458.49,459.13,450.37
458.79,453.05,460.50,453.05
454.03,454.60,455.19,450.68
453.55,449.89,454.22,449.89
450.30,457.46,457.46,450.06
456.31,461.53,463.25,456.31
461.52,461.88,464.99,460.80
462.39,458.92,462.39,458.35
456.21,456.36,458.93,455.04
458.99,453.76,459.38,453.74
455.85,450.25,455.85,450.09
452.20,458.45,459.50,452.00
459.55,461.70,463.00,458.03
464.74,469.00,469.84,462.75
468.14,486.80,486.80,468.14
482.35,477.85,483.75,472.30
478.32,478.60,482.63,476.24
477.99,476.75,479.80,473.52
477.25,482.50,482.50,475.04
485.00,481.10,486.00,477.09
480.00,470.80,480.21,468.76
468.99,471.94,471.94,462.68
470.05,484.80,484.80,470.00
482.85,481.90,484.97,472.10
481.70,480.30,482.88,472.74
