ONVI,Onvia,NASDAQ
3.61,3.61,3.61,3.61
3.51,3.65,3.65,3.50
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.64,3.54,3.65,3.51
3.65,3.64,3.65,3.54
3.64,3.64,3.64,3.64
3.65,3.65,3.65,3.65
3.62,3.65,3.69,3.62
3.64,3.68,3.68,3.64
3.60,3.68,3.68,3.60
3.64,3.73,3.73,3.64
3.72,3.73,3.74,3.64
3.73,3.73,3.73,3.73
3.64,3.73,3.73,3.64
3.70,3.70,3.70,3.70
3.71,3.70,3.71,3.70
3.57,3.70,3.73,3.57
3.56,3.69,3.70,3.56
3.56,3.56,3.68,3.56
3.75,3.73,3.75,3.57
3.59,3.61,3.73,3.59
3.73,3.73,3.73,3.73
3.73,3.73,3.73,3.73
3.69,3.70,3.70,3.55
3.59,3.70,3.70,3.59
3.70,3.70,3.70,3.70
3.61,3.69,3.71,3.60
3.69,3.70,3.70,3.55
3.70,3.70,3.70,3.56
3.70,3.70,3.70,3.70
3.73,3.70,3.84,3.70
3.71,3.79,3.79,3.60
3.80,3.80,3.81,3.78
3.80,3.83,3.83,3.80
3.83,3.85,3.85,3.81
3.85,3.85,3.85,3.85
3.70,3.70,3.89,3.67
3.65,3.79,3.79,3.59
3.70,3.80,3.86,3.70
3.80,3.76,3.85,3.75
3.80,4.10,4.42,3.80
4.24,4.10,4.25,4.10
4.14,4.15,4.15,4.05
4.13,4.22,4.22,4.04
4.16,4.15,4.16,4.04
4.28,4.10,4.28,4.00
4.10,4.10,4.15,4.08
4.15,4.14,4.15,4.07
4.00,4.10,4.20,4.00
4.19,4.15,4.22,4.15
4.03,4.18,4.18,4.03
4.14,4.29,4.32,4.14
4.30,4.40,4.40,4.30
4.40,4.49,4.49,4.40
4.49,4.57,4.59,4.49
4.52,4.64,4.65,4.52
4.65,4.56,4.65,4.55
4.60,4.68,4.68,4.60
4.62,4.60,4.64,4.54
4.54,4.55,4.55,4.45
4.54,4.60,4.60,4.54
4.55,4.60,4.60,4.55
4.56,4.60,4.61,4.55
4.59,4.63,4.63,4.59
4.69,4.57,4.69,4.57
4.60,4.62,4.62,4.60
4.62,4.69,4.69,4.62
4.61,4.61,4.62,4.61
4.61,4.61,4.61,4.61
4.61,4.61,4.61,4.61
4.60,4.64,4.64,4.60
4.65,4.60,4.65,4.60
4.60,4.60,4.60,4.57
4.60,4.60,4.61,4.58
4.57,4.57,4.57,4.57
4.60,4.60,4.63,4.60
4.63,4.61,4.63,4.60
4.61,4.60,4.61,4.57
4.60,4.61,4.63,4.60
4.60,4.54,4.60,4.54
4.59,4.60,4.60,4.42
4.50,4.64,4.64,4.50
4.45,4.65,4.65,4.45
4.52,4.60,4.60,4.52
4.40,4.60,4.61,4.40
4.48,4.60,4.60,4.48
4.42,4.62,4.65,4.42
4.42,4.64,4.64,4.42
4.40,4.63,4.65,4.40
