NWLI,National Western Life Group,NASDAQ
141.00,139.32,141.00,139.00
139.47,138.61,139.47,138.50
139.00,139.98,139.98,137.65
139.45,139.37,139.49,138.54
141.43,141.92,143.29,140.84
140.95,141.66,141.66,139.10
141.65,145.05,145.64,141.65
144.84,144.85,145.37,143.71
144.43,144.65,144.79,143.20
143.76,146.01,146.01,143.76
146.70,145.58,147.45,144.07
145.60,145.48,145.97,144.16
145.35,145.45,146.00,143.40
146.00,148.79,148.79,146.00
148.25,146.46,148.25,143.01
146.00,147.83,147.83,144.45
146.36,146.57,147.20,145.13
146.73,145.04,147.44,144.91
143.82,141.19,144.44,141.19
136.10,139.13,139.58,134.01
138.87,135.15,139.20,134.00
136.89,138.00,138.53,136.19
139.00,139.00,141.00,139.00
139.49,140.28,141.00,138.23
139.04,139.04,139.04,139.04
139.00,141.59,144.55,139.00
142.00,139.00,142.00,139.00
137.91,136.45,138.50,136.45
138.60,138.65,140.75,138.12
139.33,139.99,140.50,139.10
140.90,140.53,141.54,139.16
139.90,139.34,140.99,138.16
138.60,139.70,140.75,138.60
138.52,140.24,140.47,138.20
139.54,140.31,140.31,138.17
139.53,138.62,139.53,138.62
139.57,140.00,140.98,138.83
139.63,139.95,139.95,139.63
140.10,141.30,144.24,139.25
139.83,141.57,141.60,139.83
142.07,141.01,142.71,140.12
140.54,141.21,141.95,140.54
140.13,138.70,140.13,138.29
139.00,141.90,141.90,139.00
141.64,141.53,141.64,141.53
141.97,141.89,142.00,141.21
141.99,140.88,143.61,139.73
140.11,139.16,140.11,139.16
140.03,138.41,140.04,138.35
137.52,139.86,140.00,136.35
139.71,139.99,140.64,139.00
140.26,139.43,140.75,138.93
139.07,139.19,140.61,138.17
139.00,138.58,139.89,138.58
138.53,139.00,139.98,138.53
139.00,138.99,139.10,138.40
139.00,138.95,139.98,138.17
139.00,139.25,140.70,139.00
139.00,139.11,139.77,138.70
138.10,138.82,139.69,137.25
139.69,139.01,141.90,138.27
138.82,139.00,139.16,138.01
140.00,142.72,143.30,139.44
141.17,142.46,142.97,141.17
143.15,142.46,144.25,142.35
142.26,143.55,143.75,140.67
144.00,143.24,144.85,142.27
143.15,143.25,144.98,142.50
143.94,143.56,144.06,143.50
143.60,143.66,143.66,142.86
143.21,143.01,143.50,143.00
142.90,143.48,143.72,142.90
143.75,142.89,143.75,142.85
142.60,143.20,143.44,142.50
143.02,142.00,143.02,142.00
