IEP,Icahn Enterprises L.P. - Depositary units,NASDAQ
56.94,57.84,57.84,56.56
57.84,59.76,59.88,57.48
59.88,62.08,62.24,59.52
62.09,63.52,64.80,62.09
64.08,61.79,64.08,61.50
62.16,62.01,62.40,61.03
61.57,61.67,62.36,61.00
61.21,61.15,62.40,61.11
62.04,61.20,62.38,60.60
60.80,59.18,61.98,58.07
58.94,59.57,60.48,58.94
59.78,57.92,59.94,57.70
59.08,62.30,62.55,58.55
62.25,63.41,63.55,61.52
63.55,62.17,64.37,61.70
62.06,61.96,62.60,61.60
62.36,60.21,62.92,60.07
60.00,59.92,60.39,59.26
60.22,61.64,61.98,59.49
62.72,63.18,63.96,62.16
63.31,62.15,63.53,61.86
62.40,62.22,63.35,61.81
62.14,61.56,62.18,61.11
61.88,61.14,61.88,60.35
61.00,61.40,61.50,60.78
61.39,61.48,61.50,61.01
61.50,60.64,61.50,60.25
