SPY,SPDR S&P 500,NASDAQ
143.23,144.08,144.23,142.77
144.76,145.54,145.64,144.66
145.64,146.20,146.32,145.42
145.82,145.82,146.52,145.33
145.55,143.39,145.56,143.05
143.15,143.41,143.67,142.28
141.86,141.42,142.06,140.83
141.93,141.02,142.10,140.80
142.02,141.43,142.28,140.57
141.30,141.35,141.84,140.39
141.85,141.35,142.03,140.68
141.65,142.83,143.01,141.52
143.68,141.56,143.72,141.41
141.35,141.85,142.17,140.93
142.28,142.96,143.52,142.13
141.66,139.72,141.68,139.06
139.70,138.04,140.41,137.93
137.62,138.16,139.44,137.55
138.59,138.27,138.81,137.96
137.54,137.79,139.25,137.36
138.21,135.93,138.43,135.62
135.98,135.70,136.49,135.18
135.90,136.37,136.64,134.70
137.90,139.13,139.15,136.41
138.91,139.19,139.42,138.08
139.31,139.45,139.57,139.03
140.13,141.35,141.40,140.04
140.65,141.05,141.36,140.19
140.91,140.33,141.39,140.24
139.76,141.46,141.54,139.00
141.99,142.12,142.51,141.37
142.14,142.15,142.42,141.66
142.80,141.45,142.92,141.34
141.44,141.25,141.87,140.87
141.37,141.50,142.16,140.37
141.37,141.98,142.04,141.16
142.53,142.41,142.69,141.67
142.21,142.47,142.81,142.15
143.06,143.44,144.11,142.99
144.00,143.51,144.55,143.31
143.42,142.63,143.83,142.27
142.32,142.10,142.58,141.88
142.47,143.77,143.85,142.43
144.00,145.37,145.50,143.79
145.53,144.29,145.58,144.24
144.38,145.12,145.14,143.98
142.17,142.79,144.09,141.94
142.48,142.35,142.56,142.19
142.64,141.75,142.71,141.35
141.79,141.56,142.08,139.92
140.64,140.03,141.42,139.87
139.66,142.41,142.56,139.54
145.11,146.06,146.15,144.73
145.99,145.73,146.37,145.34
145.97,146.37,146.61,145.67
145.85,145.97,146.11,145.43
145.71,145.55,145.91,144.98
145.87,145.92,146.32,145.64
146.73,147.08,147.09,145.97
147.04,147.07,147.15,146.61
146.89,146.97,147.07,146.43
146.29,147.07,147.21,146.20
146.77,147.05,147.28,146.61
147.70,148.00,148.42,147.15
147.97,148.33,148.49,147.43
148.33,149.13,149.13,147.98
149.13,149.37,149.50,148.86
149.15,149.41,150.14,149.01
149.88,150.25,150.25,149.37
150.29,150.07,150.33,149.51
149.77,150.66,150.85,149.67
150.64,150.07,150.94,149.93
149.89,149.70,150.38,149.60
150.65,151.24,151.42,150.39
150.32,149.54,151.27,149.43
150.35,151.05,151.48,150.29
150.52,151.16,151.26,150.41
151.21,150.96,151.35,149.86
151.22,151.80,151.89,151.22
151.74,151.77,151.90,151.39
151.78,152.02,152.30,151.61
152.33,152.15,152.61,151.72
151.69,152.29,152.47,151.52
152.43,152.11,152.59,151.55
152.37,153.25,153.28,152.16
153.14,151.34,153.19,151.26
150.96,150.42,151.42,149.94
151.15,151.89,151.89,150.49
152.63,149.00,152.86,149.00
149.72,150.02,150.20,148.73
149.89,151.91,152.33,149.76
151.90,151.61,152.87,151.41
151.09,152.11,152.34,150.41
151.76,152.92,152.92,151.52
153.66,154.29,154.70,153.64
154.84,154.50,154.92,154.16
154.70,154.78,154.98,154.52
155.46,155.44,155.65,154.66
155.32,156.03,156.04,155.13
155.92,155.68,156.10,155.21
155.76,155.90,156.12,155.23
156.31,156.73,156.80,155.91
155.85,155.83,156.04,155.31
154.34,154.97,155.64,154.20
155.30,154.61,155.51,153.59
155.52,155.69,155.95,155.26
154.76,154.36,155.64,154.10
154.85,155.60,155.60,154.73
156.01,154.95,156.27,154.35
155.59,156.19,156.23,155.42
155.26,156.19,156.24,155.00
156.09,156.67,156.85,155.75
156.59,156.05,156.91,155.67
156.61,156.82,157.21,156.37
156.91,155.23,157.03,154.82
155.43,155.86,156.17,155.09
153.95,155.16,155.35,153.77
155.27,156.21,156.22,154.75
156.50,156.75,157.32,155.98
157.17,158.67,158.87,157.13
158.70,159.19,159.71,158.54
158.68,158.80,159.04,157.92
158.00,155.12,158.13,155.10
156.29,157.41,157.49,155.91
156.29,155.11,156.32,154.28
155.37,154.14,155.41,153.55
154.50,155.48,155.55,154.12
155.78,156.17,156.54,154.75
156.95,157.78,157.93,156.17
157.83,157.88,158.30,157.54
158.34,158.52,159.27,158.10
158.33,158.24,158.60,157.73
158.67,159.30,159.65,158.42
159.27,159.68,159.72,158.61
159.33,158.28,159.41,158.10
158.68,159.75,159.89,158.53
161.14,161.37,161.88,159.78
161.49,161.78,162.01,161.42
162.13,162.60,162.65,161.67
162.42,163.34,163.39,162.33
163.27,162.88,163.70,162.47
162.99,163.41,163.55,162.51
