ADS,Alliance Data Systems Corporation Common Stock,NASDAQ
125.84,127.64,128.44,125.12
127.18,127.34,127.76,126.68
128.01,127.44,130.31,126.18
127.14,128.40,128.70,127.07
127.24,128.00,128.03,126.36
128.17,127.22,128.49,126.43
127.94,128.85,129.44,127.75
128.65,129.81,130.34,128.12
130.43,130.28,130.66,129.45
130.30,128.49,130.30,128.28
128.38,129.05,130.13,127.87
128.65,129.67,129.96,127.92
129.74,128.30,130.14,127.80
127.85,126.41,127.97,125.71
126.05,125.55,126.32,125.08
125.05,124.92,125.28,123.30
123.56,124.65,125.24,122.70
125.64,125.80,126.58,124.95
125.11,127.20,128.01,124.79
126.00,126.10,126.59,125.58
125.35,126.27,127.40,125.35
126.59,125.72,128.05,125.54
126.01,121.95,126.01,121.95
122.33,121.25,123.69,120.85
121.24,122.04,122.54,119.56
121.47,122.90,124.01,121.47
122.32,123.64,124.30,121.07
123.27,126.08,126.45,123.27
126.13,127.18,127.43,126.13
128.36,128.41,129.47,127.77
126.87,126.96,127.85,125.93
126.96,126.00,127.09,124.76
123.98,122.19,125.13,120.78
122.25,121.47,122.64,119.82
121.17,122.79,123.08,120.96
123.78,125.13,125.21,123.08
122.77,124.13,126.35,122.77
124.10,124.80,124.98,123.07
125.49,123.94,125.71,123.73
124.26,124.51,124.64,122.83
124.13,124.09,125.54,123.28
124.73,126.70,126.91,123.96
127.26,128.91,129.59,126.75
128.65,130.23,131.00,128.18
130.30,131.75,132.10,130.23
131.64,131.64,132.25,130.45
131.87,130.33,132.05,130.23
130.89,129.40,130.92,128.79
128.53,128.82,129.17,127.58
128.82,130.06,130.62,128.43
131.13,132.38,133.28,130.58
131.29,132.77,133.16,130.29
135.49,135.00,135.49,133.77
135.45,136.64,136.81,134.98
136.41,136.85,137.84,136.15
136.78,136.41,137.30,136.20
135.60,135.92,136.02,134.91
136.25,136.18,136.48,135.13
136.80,135.35,137.28,134.29
134.53,134.34,135.95,133.24
133.28,130.45,133.72,130.30
131.38,132.23,132.97,130.45
132.04,131.54,132.87,131.35
132.01,131.11,133.45,130.61
130.85,129.92,132.43,128.38
130.69,131.56,133.19,128.92
131.14,130.55,131.58,130.40
128.70,127.73,128.90,127.44
127.62,126.68,128.21,125.81
124.11,127.63,128.08,123.11
129.21,128.48,129.58,127.60
127.30,130.60,131.51,127.06
130.11,131.78,132.65,130.11
128.08,130.00,131.55,128.08
130.49,128.37,130.63,127.58
126.75,128.58,128.93,126.75
130.00,129.29,130.81,128.97
129.37,129.43,129.95,128.83
129.60,131.79,132.79,129.60
130.85,132.06,132.31,130.85
131.28,131.64,132.10,131.28
131.17,131.28,131.51,129.91
131.15,132.72,132.95,130.84
133.00,134.57,134.63,133.00
133.71,134.39,134.85,133.25
134.00,136.35,136.39,133.91
136.56,137.47,137.83,135.88
137.88,136.00,138.33,134.91
136.00,136.04,136.09,134.75
136.06,136.86,137.37,135.33
136.43,136.55,136.85,135.70
136.69,138.49,138.68,136.18
138.73,138.99,139.72,138.07
138.52,138.08,138.98,137.09
138.24,138.43,138.67,137.41
137.87,137.17,137.87,136.10
137.80,137.65,138.14,136.24
137.80,138.71,139.47,136.95
138.73,138.85,139.13,137.40
139.62,140.60,140.64,139.22
140.58,141.19,141.28,140.02
140.94,140.93,141.56,140.57
140.81,140.66,141.00,139.98
140.96,140.45,141.24,139.93
140.30,141.35,141.81,139.44
141.97,140.91,142.92,140.58
141.03,142.53,144.34,140.92
142.33,142.00,142.40,141.40
141.59,143.37,143.97,140.97
142.88,142.56,143.55,141.05
143.65,142.21,144.20,142.02
142.51,141.51,142.51,141.14
142.49,142.26,143.47,141.80
142.30,140.99,142.45,140.51
141.44,142.07,142.62,140.20
141.94,141.95,143.24,141.30
141.56,141.51,142.59,140.82
142.28,141.87,142.28,141.08
142.14,142.16,142.43,141.22
142.25,143.04,143.08,141.96
144.06,144.02,144.74,143.12
143.54,143.71,143.85,143.41
143.38,141.84,143.65,141.33
141.49,139.20,142.00,138.90
138.49,138.51,139.65,136.96
138.39,137.84,139.18,136.52
137.85,138.71,138.98,136.70
141.21,139.41,141.50,138.25
139.29,138.80,140.22,137.62
138.39,144.97,145.50,138.00
143.08,144.33,145.68,143.08
143.34,144.10,144.12,142.63
142.89,143.16,143.68,141.29
143.42,142.77,144.31,141.83
143.21,142.33,143.70,141.64
142.33,142.64,143.45,141.37
142.64,143.05,143.36,141.46
143.15,144.61,145.31,142.04
145.00,143.43,145.08,143.15
143.55,143.18,143.59,141.65
143.76,143.19,144.77,142.97
142.50,142.10,143.73,140.96
142.02,141.76,143.41,140.76
141.57,142.32,143.69,139.64
142.66,142.77,144.03,142.23
142.86,142.31,143.28,141.92
143.24,140.41,143.45,140.25
139.95,139.30,140.38,137.95
138.72,139.66,140.06,137.01
137.40,140.87,141.80,135.91
141.00,140.56,141.39,139.03
140.65,140.35,140.92,139.88
140.84,140.83,141.02,140.19
140.18,140.15,141.81,139.26
140.01,139.53,140.48,138.99
139.46,140.23,140.36,137.92
140.54,142.13,142.47,140.00
142.10,142.49,143.25,141.58
143.09,142.42,143.73,142.16
142.54,142.20,142.99,141.23
142.52,142.74,143.58,141.98
142.87,142.91,143.01,141.42
142.77,142.96,143.64,141.90
142.47,142.62,143.40,141.96
142.94,144.83,144.98,142.92
144.85,144.80,146.96,144.30
144.22,144.00,144.79,143.38
144.11,144.10,145.03,143.83
144.21,145.46,145.50,143.73
145.57,145.86,146.83,145.28
145.22,146.98,148.41,145.22
147.09,148.02,148.30,147.04
146.04,146.31,146.90,145.06
145.88,146.62,146.71,145.66
146.25,145.05,146.62,144.22
145.17,144.38,145.22,142.59
144.04,144.02,144.66,143.62
143.54,144.76,144.97,143.19
146.87,149.04,149.23,146.39
148.91,150.24,152.10,148.78
150.74,151.10,152.48,150.19
150.50,154.41,155.32,150.50
154.87,155.21,156.67,153.70
155.97,155.57,156.23,155.01
155.70,154.83,156.22,153.58
155.33,155.53,155.88,154.34
155.84,156.22,156.22,153.83
151.77,155.15,155.21,149.83
155.11,156.43,157.58,154.74
157.20,156.11,157.97,154.75
155.79,155.80,156.30,154.60
156.00,157.08,157.13,155.34
155.99,157.37,157.55,155.99
156.83,157.53,157.97,156.71
157.50,158.05,158.78,157.31
158.58,157.24,158.58,157.22
157.30,155.98,157.90,155.10
156.16,153.45,156.58,153.38
157.00,157.60,159.05,155.43
159.38,156.75,159.38,156.50
155.92,154.90,157.05,154.62
155.50,155.75,156.89,155.20
155.50,155.15,155.73,154.70
154.46,153.74,154.81,152.80
153.88,154.08,154.77,153.31
154.06,153.42,154.35,153.21
153.49,152.32,153.64,152.00
152.38,152.32,152.93,151.68
152.27,152.37,152.62,151.68
152.75,155.41,157.33,152.75
155.64,154.94,156.63,154.77
154.94,152.77,155.95,152.69
152.27,152.05,153.25,151.40
152.27,154.02,154.52,151.62
154.33,155.43,157.65,153.97
155.45,155.64,156.11,154.10
154.65,157.75,158.42,154.65
158.06,158.69,159.96,157.76
157.79,158.58,158.79,156.30
