RGI,Guggenheim S&P 500 Equal Weight Industrials ETF,NASDAQ
64.52,65.11,65.17,64.20
65.81,66.26,66.51,65.81
66.69,66.70,66.70,66.69
66.72,67.33,67.33,66.72
67.20,67.66,67.66,67.20
67.63,67.57,67.93,67.56
67.50,67.70,67.70,67.50
68.30,67.39,68.30,66.76
67.50,68.19,68.26,67.50
68.11,68.72,68.72,68.11
68.51,68.75,68.84,68.51
69.15,69.08,69.15,69.08
69.70,69.61,69.70,69.60
69.73,69.76,69.76,69.73
69.85,68.77,69.96,68.77
68.50,68.81,68.98,68.50
68.98,68.27,68.98,68.12
70.21,69.27,70.21,69.26
69.58,68.63,69.58,68.36
68.63,68.63,68.63,68.63
68.75,68.46,69.44,68.46
68.36,68.32,68.51,67.63
68.98,67.99,68.98,67.74
67.12,67.07,67.12,66.92
67.63,66.59,67.63,66.59
67.39,68.03,68.29,67.39
