ITA,iShares U.S. Aerospace & Defense ETF,NASDAQ
144.36,144.94,145.07,143.49
145.28,146.22,146.35,144.59
146.74,144.83,146.76,144.52
144.89,145.13,145.29,144.69
143.00,143.47,143.54,141.42
143.95,142.85,144.70,142.48
142.70,141.52,143.23,141.42
141.61,141.95,142.98,141.20
141.44,141.71,143.27,141.44
142.03,142.77,142.93,141.87
143.32,143.40,143.83,142.86
143.20,142.21,143.34,142.16
142.16,142.20,142.64,141.51
141.90,142.23,142.43,141.59
143.04,142.60,143.04,142.14
142.65,141.23,142.75,141.06
141.35,141.38,141.97,140.88
141.77,140.52,141.79,140.30
141.63,142.39,142.63,140.87
143.00,143.36,143.43,142.69
143.31,143.24,144.54,142.42
143.39,143.66,144.07,142.96
143.65,142.50,143.65,142.29
142.49,142.74,143.46,142.26
142.94,142.62,142.95,141.77
142.52,141.86,142.88,140.20
142.15,142.44,142.76,141.93
