GXC,SPDR S&P China ETF,NASDAQ
75.91,76.65,76.94,75.91
76.45,76.77,76.93,76.32
76.11,76.31,76.38,76.02
75.02,74.72,75.10,74.48
75.28,75.63,75.89,75.28
74.91,74.04,75.38,73.97
73.58,73.34,73.83,73.30
72.33,71.71,72.41,71.62
71.54,71.44,71.76,71.39
71.30,71.42,71.57,71.30
71.53,71.30,71.58,71.29
70.76,70.50,70.76,70.38
70.33,70.54,70.71,70.33
70.64,70.67,71.01,70.64
71.49,71.14,71.49,71.06
71.84,72.04,72.29,71.84
72.39,72.05,72.60,71.85
72.48,72.63,73.08,72.38
72.93,73.56,73.82,72.93
74.18,74.78,74.98,74.18
74.70,74.36,74.70,74.09
74.50,74.70,74.84,74.43
75.30,75.70,76.17,75.29
75.79,76.15,76.21,75.57
75.86,75.84,75.88,75.33
75.84,76.02,76.18,75.84
