IHF,iShares U.S. Health Care Providers ETF,NASDAQ
127.12,127.01,127.34,126.38
126.95,126.68,127.89,126.00
126.90,127.31,127.74,126.28
127.52,127.57,127.77,126.68
127.13,126.99,127.93,126.67
127.03,127.11,127.65,126.73
126.93,125.10,126.93,125.00
125.28,125.91,126.37,124.82
126.00,126.79,126.90,126.00
126.94,126.10,127.91,125.84
126.30,126.33,127.25,126.22
126.10,126.00,126.30,125.42
125.98,125.90,126.48,125.27
125.88,127.17,127.18,125.88
127.11,127.28,128.00,127.11
127.37,126.07,127.37,125.92
126.15,125.87,126.55,125.72
126.09,125.28,126.09,124.96
126.20,125.78,126.20,124.50
126.05,127.92,128.04,126.00
127.73,128.02,128.36,127.56
127.89,127.88,128.31,127.57
127.69,128.63,128.79,127.69
128.57,129.40,130.01,128.14
129.50,130.16,130.36,128.83
129.93,130.68,130.76,129.50
130.72,130.93,131.29,130.72
