APDN,Applied DNA Sciences Inc - Common Stock,NASDAQ
3.00,3.00,3.00,2.82
3.06,2.94,3.06,2.88
2.82,3.00,3.00,2.82
2.82,3.30,3.30,2.82
2.82,3.24,3.24,2.70
2.82,3.00,3.00,2.82
3.00,3.00,3.22,2.94
3.00,2.94,3.00,2.94
2.83,2.94,2.94,2.83
2.94,2.88,3.06,2.88
2.88,3.00,3.00,2.88
3.00,3.00,3.00,2.94
3.00,2.28,3.00,1.80
1.80,2.82,2.82,1.80
2.40,2.40,2.40,2.28
2.40,2.40,2.82,2.34
2.34,2.40,2.64,2.22
2.40,2.64,2.64,2.15
2.64,2.64,2.64,2.64
2.64,2.10,2.64,1.26
2.40,2.60,2.64,2.40
2.13,2.55,2.57,2.13
2.25,2.57,2.57,2.25
2.40,2.64,2.64,2.40
2.55,2.70,2.70,2.55
2.70,2.82,2.82,2.67
2.70,2.93,3.06,2.70
N/A,N/A,N/A,N/A
3.00,3.06,3.06,2.41
2.99,2.70,3.18,2.52
2.46,2.64,2.99,2.46
2.99,2.59,2.99,2.46
2.88,2.82,2.88,2.82
2.88,2.65,3.00,2.65
2.88,3.29,3.60,2.46
3.48,3.60,3.60,3.47
3.48,3.30,3.60,3.00
3.00,3.42,3.42,2.88
3.54,3.36,3.57,3.00
3.48,4.11,5.10,3.42
4.20,6.61,6.90,4.20
7.81,8.70,9.87,7.80
8.96,7.80,9.57,7.20
8.07,8.40,8.40,7.56
8.40,8.34,8.40,7.56
8.04,7.81,8.28,7.62
7.32,7.26,8.16,7.20
7.26,6.84,7.43,6.84
6.72,8.22,8.22,6.60
8.46,8.01,8.58,7.74
8.10,7.80,8.16,7.80
8.22,8.09,8.46,7.86
8.22,8.49,8.64,7.20
8.49,7.83,8.70,7.80
8.28,7.80,8.28,7.50
8.39,8.22,8.39,7.80
7.86,7.95,8.34,7.80
7.92,7.95,8.10,7.74
7.95,7.92,7.95,7.71
7.92,8.28,8.28,7.71
8.52,8.94,9.00,8.09
8.99,9.30,9.54,8.58
9.54,11.47,11.52,9.42
11.88,10.87,12.00,10.35
10.87,13.17,13.18,10.87
13.74,15.91,17.79,12.33
16.50,16.20,17.10,14.52
16.37,16.14,16.50,14.70
16.14,14.82,17.76,14.76
14.22,15.24,15.60,12.36
15.57,14.70,16.62,14.40
14.34,14.10,14.70,12.90
14.10,12.00,14.46,11.28
11.94,10.08,12.00,9.96
9.42,11.38,12.00,8.52
11.38,10.74,11.40,10.20
11.70,10.61,12.48,9.72
10.81,10.50,11.10,10.20
10.50,10.92,11.22,10.50
11.07,11.10,11.40,10.80
10.80,10.80,12.00,10.80
10.92,10.80,11.10,10.80
10.86,10.93,11.34,10.86
11.52,12.00,12.24,10.98
12.48,13.68,14.34,12.00
14.39,13.53,15.00,13.51
13.67,12.30,13.67,12.06
12.30,11.44,12.90,11.10
11.44,11.70,12.30,11.28
11.70,11.10,11.70,10.50
10.20,10.50,11.22,9.60
10.20,11.10,11.22,10.20
11.40,10.20,11.40,10.20
10.80,10.80,10.80,9.90
11.10,10.74,11.40,10.50
10.80,10.74,10.80,10.20
10.80,10.80,10.86,10.20
10.44,10.65,11.10,10.20
10.80,10.50,10.98,10.20
10.44,13.08,13.20,10.44
13.08,11.10,13.55,10.80
11.37,10.65,11.40,10.50
12.06,10.80,12.06,10.74
11.10,10.80,11.16,10.80
10.65,10.65,11.10,10.65
10.65,10.68,10.80,10.14
10.68,10.65,10.80,10.65
10.80,10.74,10.80,9.90
10.77,11.16,11.22,10.26
11.40,12.00,12.60,11.40
12.30,12.42,12.90,12.00
12.60,10.79,12.72,10.62
12.90,10.98,12.90,10.74
11.10,10.73,11.37,10.68
10.80,10.62,11.10,10.50
10.80,10.62,10.80,10.38
10.80,10.80,10.80,10.50
10.65,10.65,10.80,10.38
10.80,11.64,12.00,10.21
12.43,15.18,16.14,12.30
16.43,17.28,17.70,15.90
17.46,13.86,18.30,13.30
14.17,15.08,15.60,13.80
15.30,13.80,15.60,13.20
14.16,14.10,14.64,13.44
14.40,13.80,15.00,13.56
14.14,13.50,14.14,12.60
13.80,14.22,14.34,12.39
13.62,13.86,14.64,12.99
13.80,12.90,13.80,12.42
13.11,12.24,13.20,12.06
12.60,12.60,12.81,12.24
13.02,13.74,14.04,12.60
13.80,12.90,14.10,12.72
13.35,12.96,13.80,12.72
13.38,12.96,13.38,12.90
12.92,13.20,13.20,12.91
13.20,13.04,13.20,12.90
12.96,12.77,13.08,12.31
13.08,12.30,13.20,12.14
12.33,12.12,12.84,11.46
12.24,12.00,12.24,11.40
12.01,12.78,13.02,12.01
13.05,12.61,13.20,12.60
12.77,13.14,13.19,12.61
13.16,12.61,13.20,12.30
12.90,12.36,13.08,12.30
12.45,12.13,12.60,12.12
12.13,12.60,12.60,11.88
12.58,12.06,12.90,12.00
12.16,13.80,13.92,12.02
14.69,13.85,14.70,13.81
13.89,13.32,13.98,13.21
13.26,12.90,13.62,12.84
12.78,12.60,12.78,12.30
12.60,12.60,12.90,12.31
12.60,12.66,13.05,12.45
12.66,12.54,13.02,12.42
12.66,12.48,13.02,12.30
12.48,12.30,12.90,12.12
12.42,12.18,12.60,12.00
12.60,12.60,12.60,12.18
12.60,12.30,12.84,12.12
12.22,10.74,12.30,10.50
10.80,10.02,10.80,9.78
9.96,9.00,10.20,8.34
9.15,9.15,9.15,7.92
9.00,8.70,9.30,8.70
8.88,8.40,9.00,8.34
8.34,8.04,8.34,7.86
8.04,8.10,8.64,7.86
8.09,7.95,8.28,7.89
8.10,8.10,8.22,7.51
8.22,7.98,8.22,7.68
7.56,7.50,7.86,7.32
7.44,7.50,7.58,7.26
7.56,7.80,8.25,7.32
7.92,7.98,8.34,7.56
7.92,7.92,7.98,7.50
8.10,7.80,8.40,7.50
7.50,8.10,8.19,7.50
8.01,7.74,8.10,7.56
7.53,8.04,8.04,7.50
8.49,9.75,10.35,8.41
10.80,10.20,11.28,9.90
10.74,10.59,11.28,10.06
10.94,11.28,11.52,10.65
10.99,10.92,11.70,10.80
11.70,11.70,12.23,10.92
13.16,12.60,13.19,12.18
13.26,13.08,13.50,12.66
13.44,13.74,13.74,13.08
14.12,14.10,15.50,13.80
