BLK,BlackRock,NASDAQ
187.01,187.87,189.28,185.71
188.30,186.99,190.28,186.33
188.45,187.12,189.08,186.18
187.30,186.99,188.40,186.44
189.09,189.68,190.99,188.34
189.52,190.07,190.46,188.84
190.86,189.52,192.31,189.32
188.82,189.50,190.25,187.36
191.09,191.42,191.86,189.51
188.98,190.00,190.60,188.50
190.31,187.10,191.59,187.10
186.70,186.83,189.02,186.47
187.25,188.53,189.50,186.31
187.27,188.34,190.09,187.24
188.76,186.60,189.19,186.25
186.50,186.96,187.55,185.20
188.13,186.99,190.16,185.41
189.46,191.16,191.21,189.15
190.81,193.80,193.80,190.30
194.73,193.75,194.99,192.07
194.71,195.54,195.60,194.08
194.48,194.09,195.22,193.28
196.35,194.82,196.35,192.81
194.50,197.43,198.88,194.00
196.74,195.62,197.54,194.21
195.45,197.04,197.23,194.52
198.13,195.33,199.35,195.09
195.02,191.26,195.75,191.19
191.20,192.44,193.55,190.24
192.40,193.75,193.85,191.69
194.42,194.76,194.85,193.31
194.78,195.72,195.82,194.00
195.77,199.45,199.65,195.77
200.34,200.67,201.73,199.04
200.64,200.72,201.33,200.14
198.87,201.53,202.09,198.87
202.31,205.29,205.35,200.89
205.73,206.67,208.62,203.81
205.48,205.81,208.85,205.48
207.29,209.29,209.43,206.11
206.02,206.75,209.91,205.37
209.80,207.22,209.80,202.70
207.53,205.34,207.58,204.97
205.85,206.07,206.83,204.04
204.91,204.51,206.27,203.88
204.16,206.71,206.88,203.91
210.62,212.77,212.87,208.77
213.31,213.35,215.99,212.17
213.03,218.03,218.86,213.02
217.68,217.63,218.29,215.25
217.02,214.26,217.44,214.05
215.19,214.82,217.12,214.23
216.02,218.75,220.00,215.82
218.43,221.01,221.26,217.33
221.23,222.19,224.47,220.06
223.37,223.25,223.41,220.59
222.43,222.24,224.00,221.39
228.75,232.00,234.46,227.00
232.80,233.93,234.00,231.26
234.12,236.96,237.01,234.05
237.30,235.99,238.62,235.14
237.32,236.33,238.41,234.59
237.53,236.42,237.75,235.85
235.59,234.86,236.32,233.16
235.15,238.01,238.01,234.11
237.75,237.40,238.40,236.09
236.73,236.28,238.55,235.47
234.64,236.89,237.79,234.00
232.17,234.48,236.25,231.66
235.39,238.86,239.49,235.00
237.55,238.80,238.95,237.25
