XRA,Exeter Resource Corporation Ordinary Shares (Canada),NASDAQ
0.76,0.76,0.79,0.75
0.77,0.80,0.81,0.74
0.79,0.80,0.84,0.78
0.80,0.77,0.82,0.76
0.77,0.77,0.78,0.77
0.77,0.77,0.78,0.76
0.76,0.75,0.77,0.75
0.76,0.77,0.77,0.76
0.77,0.75,0.77,0.74
0.71,0.70,0.74,0.69
0.70,0.71,0.72,0.69
0.68,0.70,0.71,0.68
0.69,0.67,0.70,0.67
0.67,0.69,0.72,0.67
0.70,0.67,0.70,0.67
0.67,0.67,0.68,0.66
0.67,0.68,0.69,0.67
0.68,0.69,0.72,0.68
0.70,0.76,0.80,0.70
0.76,0.75,0.78,0.74
0.76,0.79,0.80,0.75
0.80,0.78,0.81,0.76
0.80,0.80,0.84,0.77
0.80,0.80,0.81,0.77
0.79,0.80,0.82,0.77
0.81,0.82,0.83,0.80
0.82,0.80,0.82,0.78
0.80,0.78,0.82,0.78
0.78,0.79,0.79,0.77
